"CID","Km"
1288,0.00015
1290,0.052625
1299,0.004
1300,0.00081
1302,0.000215
1312,0.321
1346,0.275
1353,32.9
1367,0.1025
1368,2.52575
1384,1.2
1387,0.77
1405,0.447
1408,0.048
1412,1.6
1416,0.12
1417,0.6
1419,1.09
1420,0.23
1424,1.105
1438,0.025
1455,0.022
1460,0.01
1467,0.0018
1468,0.00545
1474,0.11
1477,0.02
1479,0.017
1485,0.159
1486,0.26
1487,0.98
1488,45.7
1494,0.0137
1499,0.1
1500,0.04875
1507,18
1512,12.5
1514,0.008
1516,0.5475
1526,0.019
1528,0.025
1533,3.4
1537,1.6
1546,0.75
1548,0.014
1551,5.8
1563,3.8
1566,0.0037
1569,10.8
1575,0.02
1586,0.65
1590,0.0175
1592,0.011
1595,0.01205
1606,0.1501
1607,0.0286
1613,11.84
1616,4.8
1617,0.07075
1626,0.0007
1635,0.00145
1636,0.0018
1637,0.002
1638,0.1926425
1639,0.00116
1640,0.0015125
1641,0.0005675
1642,0.00023
1643,0.00014
1644,0.0011
1645,0.0013
1646,0.00137
1647,0.0014
1648,0.000295
1649,0.0022
1650,0.00025
1651,0.00007
1652,0.000345
1653,0.00019
1659,3
1678,0.3105
1680,4
1697,240
1709,0.117
1711,377
1714,0.09
1717,0.008
1720,0.6
1721,1.4
1724,0.034675
1726,9.1
1732,0.23
1746,10
1747,0.5
1751,0.01675
1755,11
1761,0.04
1762,0.435425
1765,0.03
1768,0.46
1775,0.0114
1779,0.0367
1792,0.0028
1794,0.0286
1795,0.00165
1801,0.1
1802,26.3
1807,33
1821,0.32
1822,0.004
1825,8
1829,0.0003185
1832,0.00055
1837,2.9
1838,0.065
1839,0.2355
1845,0.00178
1848,0.3
1850,0.015
1852,1.225
1861,0.07
1870,4.9
1877,0.6
1879,0.043
1892,21.5
1901,0.801
1902,0.0325
1904,16.25
1906,3
1909,0.002
1920,0.064
1921,0.35
1925,0.00103
1929,0.0027
1931,0.0069
1933,1.8
1935,0.16
1941,0.036
1943,0.086
1944,0.015
1953,0.0011
1959,1.5005
1968,0.011
1969,0.0128
1971,2.2
1977,0.00053
1982,1.65
1983,0.44
1984,0.144
1987,2.125
1988,0.008
1996,0.114
1998,9.405
2001,5
2006,0.0137
2010,0.5105
2013,0.995
2015,0.004
2022,0.36
2035,0.0008035
2041,0.0042
2043,1.03
2046,0.026
2048,5
2050,0.023425
2066,0.36
2067,0.18
2074,1.325
2076,1.195
2083,0.077
2086,15.4
2094,0.0016
2105,0.00157
2106,0.0009
2107,0.18
2116,5.25
2132,0.1
2137,0.225
2140,0.0048
2141,0.1
2151,0.083
2165,0.00132
2167,148.4
2183,0.280015
2185,0.02
2191,0.00608
2206,0.067
2207,35.2
2220,0.067
2222,0.05
2225,0.19
2226,1.1
2231,0.16
2232,0.15
2235,0.01465
2236,0.032
2237,90
2247,0.0225
2249,0.0033
2253,0.22
2265,22
2271,0.0315
2274,0.52
2280,0.097
2289,0.27
2291,5.375
2295,6.2
2303,0.011
2305,1.07
2307,0.00245
2308,0.08
2323,0.32
2325,0.1025
2331,0.05
2335,0.21
2341,0.42
2350,17
2357,0.07
2362,3.15
2370,0.06575
2375,0.043105
2376,2.41
2390,0.3
2394,0.1
2400,0.006
2432,0.83
2457,8.5
2480,0.09065
2483,0.005
2494,7.15
2495,0.05
2497,9.1
2499,0.00235
2512,1.18
2519,0.000735
2526,0.00975
2527,0.26
2528,0.032
2537,0.0088
2538,0.344
2564,0.084
2565,0.032
2567,0.0016
2575,0.03
2588,0.05
2591,0.105
2592,0.05
2593,0.001185
2614,1.425
2621,0.0225
2625,0.0035
2632,4.3
2634,4.0805
2635,40
2636,1.175
2637,0.0375
2642,1.0945
2646,0.0945
2657,0.007
2659,35.5
2666,0.012
2670,9
2673,0.000003
2682,0.0368
2683,0.01185
2684,0.0385
2686,0.026
2693,0.64
2700,1.24
2703,14.2
2707,0.015
2714,0.321
2720,0.15
2727,0.5
2728,1.34
2730,0.08205
2735,0.097
2737,0.4
2741,0.004875
2763,0.13
2774,0.125
2780,13.9
2782,5
2791,0.0615
2798,0.0032
2800,0.27
2802,0.04
2811,0.022
2814,0.0057
2846,0.232
2864,0.21
2868,0.056
2876,0.14
2880,0.00113
2899,0.014
2920,0.0136
2923,0.0021
2930,4
2932,5
2934,0.009
