"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R01835","Not calculated","Not calculated","Involves unknown structures"
"R01836",2.3,1.11,
"R01837",0.75,1.14,
"R01838",2.3,1.11,
"R01839",0.75,1.14,
"R01840",-92.58,1.28,
"R01841",2.88,0.76,
"R01842","Not calculated","Not calculated","Atoms imbalanced"
"R01843",-4.5,0.24,
"R01844",-2.51,1.48,
"R01845",-2.32,0.74,
"R01846",-4.5,0.24,
"R01847",-4.5,0.24,
"R01848",-4.5,0.24,
"R01849","Not calculated","Not calculated","Involves unknown structures"
"R01850",11.62,3.09,
"R01851",-12.75,1.29,
"R01853",-22.78,1.07,
"R01854","Not calculated","Not calculated","Involves unknown structures"
"R01855",-8.24,0.75,
"R01856","Not calculated","Not calculated","Involves groups with unknown energies"
"R01857",0,2,
"R01858",4.61,0.65,
"R01859",-2.88,0.75,
"R01860",-0.1,0.66,
"R01861",-5.29,1.2,
"R01862",-16,0.82,
"R01863",1.58,0.97,
"R01866",4.78,1.16,
"R01867",-26.93,1.03,
"R01868","Not calculated","Not calculated","Involves unknown structures"
"R01869",4.78,1.16,
"R01870",3.01,0.98,
"R01872",2.3,1.11,
"R01873",-41.42,4.4,
"R01874",1.76,1.14,
"R01875","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01876",1.58,0.97,
"R01877",-2.32,0.74,
"R01878",-5.14,1.46,
"R01879",-110.08,0.83,
"R01880",-4.5,0.24,
"R01881",1.93,0.76,
"R01882",-8.75,1.03,
"R01883",-8.76,2.51,
"R01884",-2.71,3.38,
"R01885",-9.31,0.75,
"R01886",6.73,0.8,
"R01887",3.04,5.06,
"R01888",-4.5,0.24,
"R01889",-5.29,1.26,
"R01890",1.07,0.75,
"R01891",-4.5,0.24,
"R01892","Not calculated","Not calculated","Involves unknown structures"
"R01893",3.81,1.64,
"R01895",3.81,1.64,
"R01896",3.81,1.64,
"R01898",0.89,0.61,
"R01899",6.22,1.1,
"R01900",0.05,0.9,
"R01901",-4.55,1.19,
"R01902",-4.5,0.24,
"R01903",3.81,1.64,
"R01904",3.81,1.64,
"R01905",-3.04,1.32,
"R01906",0.89,0.61,
"R01908",-4.09,0.6,
"R01909",-4.5,0.24,
"R01910",-28.04,0.78,
"R01911",2.32,0.74,
"R01912",-1.7,0.63,
"R01913","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01914",-23.5,1.28,
"R01915","Not calculated","Not calculated","Involves unknown structures"
"R01916",-2,0.98,
"R01917",-6.35,0.86,
"R01918",-0.46,0.85,
"R01919",0,2,
"R01920",-10.46,2.37,
"R01921",3.76,1.08,
"R01922",-4.72,0.88,
"R01923",-3.61,1.18,
"R01924",-2.14,0.68,
"R01925",2.16,0.77,
"R01926",-4.5,0.24,
"R01927",2.21,1.11,
"R01928",-1.7,0.63,
"R01929",-4.5,0.24,
"R01930",-34.04,1,
"R01931",-9.85,6.04,
"R01932",-6.22,1.1,
"R01933",-8.14,1.6,
"R01934",3.13,1.24,
"R01936",-3.09,0.54,
"R01937",17.79,1.71,
"R01938",17.79,1.71,
"R01939",0,2,
"R01940",-9.68,1.95,
"R01941",-4.05,1.52,
"R01942",-4.36,2.22,
"R01943",-2.49,1.23,
"R01944",-5.29,1.26,
"R01945",-3.61,1.18,
"R01946",-3.61,1.18,
"R01951",1.07,0.75,
"R01952","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R01953","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01954",-0.12,1.78,
"R01956",0,2,
"R01957",-1.46,0.3,
"R01959",-0.5,1.01,
"R01960",-95.83,1.31,
"R01961",-4.5,0.24,
"R01962",-39.19,1.77,
"R01963",-14.28,1.16,
"R01964",-4.5,0.24,
"R01965",-4.5,0.24,
"R01966","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01967",-4.5,0.24,
"R01968",-2.32,0.74,
"R01969",1.58,0.97,
"R01971",6.22,1.1,
"R01972",-19.2,2.19,
"R01973",-19.2,2.19,
"R01974",-4.09,0.6,
"R01975",3.76,1.08,
"R01976",3.76,1.08,
"R01977",3.76,1.08,
"R01978",6.47,1.3,
"R01980",-4.5,0.24,
"R01981",-7.48,1.93,
"R01982","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01983",-0.89,0.61,
"R01984",8.04,1.4,
"R01986",-9.8,1.18,
"R01987",2,0.98,
"R01989",0,2,
"R01990",-3.9,1.68,
"R01991",-7.78,0.88,
"R01992",-0.46,0.85,
"R01993",-5.28,1.51,
"R01994","Not calculated","Not calculated","Involves unknown structures"
"R01995","Not calculated","Not calculated","Involves unknown structures"
"R01996","Not calculated","Not calculated","Involves unknown structures"
"R01997","Not calculated","Not calculated","Involves unknown structures"
"R01998","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01999","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02000","Not calculated","Not calculated","Involves unknown structures"
"R02002","Not calculated","Not calculated","Involves unknown structures"
"R02003",-13,0.67,
"R02004","Not calculated","Not calculated","Involves groups with unknown energies"
"R02006",-30.7,3.8,
"R02007",52.66,6.23,
"R02008","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02009",-4.3,1.27,
"R02010",0.39,2.62,
"R02011","Not calculated","Not calculated","Involves unknown structures"
"R02012","Not calculated","Not calculated","Involves unknown structures"
"R02013",-16.35,1.56,
"R02014",17.3,2.29,
"R02016",-4.71,2.48,
"R02017",17.3,2.29,
"R02018",17.3,2.29,
"R02019",17.3,2.29,
"R02020",17.3,2.29,
"R02021",-16.6,2.37,
"R02022",17.3,2.29,
"R02023",17.3,2.29,
"R02024",17.3,2.29,
"R02025","Not calculated","Not calculated","Involves groups with unknown energies"
"R02026",-13.99,2.14,
"R02027",-4.81,0.69,
"R02029",-2.32,0.74,
"R02030",-4.5,0.24,
"R02032",6.22,1.1,
"R02034",6.22,1.1,
"R02035",-5.48,1.42,
"R02036",-8.17,0.69,
"R02037",-10.46,2.37,
"R02038",1.07,0.75,
"R02039",-9.8,1.18,
"R02040","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02041","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02042","Not calculated","Not calculated","Involves unknown structures"
"R02047",5.22,1.07,
"R02048",-1,0.35,
"R02050",-1,0.35,
"R02051",-3.57,0.79,
"R02052",-3.57,0.79,
"R02053",-2.14,0.68,
"R02054",-2.14,0.68,
"R02055",-3.09,0.54,
"R02056",-14.2,2.26,
"R02057",-5.74,0.45,
"R02058",-5.29,1.26,
"R02059",-2,0.98,
"R02060",0,2,
"R02061",-13,0.67,
"R02063",-52.62,3.47,
"R02064","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02065",-17.8,1.82,
"R02068",-22.74,4.27,
"R02069",-2.32,0.74,
"R02071",-4.5,0.24,
"R02073",-3.07,0.74,
"R02075",-72.01,1.62,
"R02076",-72.01,1.62,
"R02077",0,2,
"R02078",-81.31,1.71,
"R02079",-0.19,0.89,
"R02080",-3.09,0.54,
"R02081",1.17,2.37,
"R02082",1.17,2.37,
"R02083",-5.76,1.21,
"R02084",0,2,
"R02085",3.02,0.8,
"R02086",0,2,
"R02087",0,2,
"R02088",-2.32,0.74,
"R02089",-4.5,0.24,
"R02090",0,2,
"R02091",-4.5,0.24,
"R02092",-6.82,0.72,
"R02093",0,2,
"R02094",0,2,
"R02095",-6.82,0.72,
"R02096",-4.5,0.24,
"R02097",-4.5,0.24,
"R02098",0,2,
"R02099",-4.5,0.24,
"R02100",-8.24,0.75,
"R02101",-15.88,1.91,
"R02102",-2.32,0.74,
"R02103",-10.77,1.77,
"R02106",-0.64,3.82,
"R02107",-42.48,1.46,
"R02108","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02109","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02110","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02111","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02112","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02113",-1.7,0.63,
"R02114",0,2,
"R02115",-2.14,0.68,
"R02116","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02118",-1.7,0.63,
"R02119",-1.7,0.63,
"R02120","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02121",0,2,
"R02122","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02123",-9.8,1.18,
"R02124",3.67,1.1,
"R02125",-41.51,0.89,
"R02126",0,2,
"R02127","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R02128","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R02129","Not calculated","Not calculated","Charge imbalanced"
"R02130","Not calculated","Not calculated","Involves unknown structures"
"R02131","Not calculated","Not calculated","Involves unknown structures"
"R02132",-68,1.51,
"R02133",-3.67,1.02,
"R02134",-4.5,0.24,
"R02135",2.32,0.74,
"R02136",-4.5,0.24,
"R02137",-0.73,0.96,
"R02138",-3.61,1.18,
"R02139","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02141",-13.96,2.42,
"R02142",3.01,0.98,
"R02143",-0.73,0.96,
"R02144",-6.74,2.33,
"R02145",-8.88,1.25,
"R02147",1.58,0.97,
"R02148",-2.32,0.74,
"R02150",-24.02,1.04,
"R02152",-5.29,1.26,
"R02153",-6.35,0.86,
"R02154",-7.78,0.88,
"R02155",-6.74,2.33,
"R02156",-109.7,2.24,
"R02157",-3.53,2.41,
"R02158",-0.87,1.12,
"R02159",-3.67,0.96,
"R02160",-120.41,1.63,
"R02161","Not calculated","Not calculated","Involves unknown structures"
"R02162",112.24,6.69,
"R02163",17.44,2.84,
"R02164",-2.44,2.55,
"R02165","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02166","Not calculated","Not calculated","Charge imbalanced"
"R02167",-2.32,0.74,
"R02168",-1.7,0.63,
"R02170",-16,0.82,
"R02171","Not calculated","Not calculated","Charge imbalanced"
"R02172","Not calculated","Not calculated","Charge imbalanced"
"R02173",-24.02,1.04,
"R02174",-6.74,2.33,
"R02175","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02177",2.3,1.11,
"R02178",-95.81,1.31,
"R02179",-1.7,0.63,
"R02180","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02181","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02182",-14.76,0.77,
"R02183","Not calculated","Not calculated","Involves unknown structures"
"R02184","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02185","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02186","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02187","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02188","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02189","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02190",1.49,1.24,
"R02191",-4.05,1.29,
"R02192","Not calculated","Not calculated","Involves unknown structures"
"R02193",-4.05,1.52,
"R02194",-2.49,1.23,
"R02195",-3.61,1.18,
"R02196",8.69,1.31,
"R02197",-23.02,1.06,
"R02199",0,2,
"R02200",0,2,
"R02201",-2.43,1.49,
"R02203",-2.43,1.49,
"R02204",-32.7,1.12,
"R02205","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02206","Not calculated","Not calculated","Involves unknown structures"
"R02207",3.76,1.08,
"R02208",13.57,1.55,
"R02209",3.76,1.08,
"R02210",-103.25,1.34,
"R02211","Not calculated","Not calculated","Involves unknown structures"
"R02212","Not calculated","Not calculated","Involves unknown structures"
"R02213","Not calculated","Not calculated","Involves unknown structures"
"R02214","Not calculated","Not calculated","Involves unknown structures"
"R02215","Not calculated","Not calculated","Involves unknown structures"
"R02216",0.75,1.14,
"R02217",0.75,1.14,
"R02218","Not calculated","Not calculated","Involves unknown structures"
"R02219",-13.57,1.55,
"R02220",-4.05,1.52,
"R02221",-2.49,1.23,
"R02222","Not calculated","Not calculated","Involves unknown structures"
"R02223",-15.99,2.47,
"R02224",-15.99,2.47,
"R02225",-4.5,0.24,
"R02226",-3.43,0.74,
"R02227",-4.5,0.24,
"R02228",-2.32,0.74,
"R02229",-2.3,1.11,
"R02231",-97.25,1.52,
"R02232",-1.04,0.55,
"R02233",-26.94,1.08,
"R02234","Not calculated","Not calculated","Involves unknown structures"
"R02235",-4.41,1.36,
"R02236",-4.41,1.36,
"R02237",-6.35,0.86,
"R02238",-0.87,1.49,
"R02239",-2.32,0.74,
"R02240",-4.5,0.24,
"R02241",3.61,1.18,
"R02242",-3.61,1.18,
"R02243",-4.01,0.69,
"R02244",0,2,
"R02245",-4.5,0.24,
"R02246",23.76,1.61,
"R02247",23.76,1.61,
"R02248",-2.32,0.74,
"R02249",-2.32,0.74,
"R02250",-2.14,0.68,
"R02251",3.61,1.18,
"R02252",11.73,1.26,
"R02253",-95.83,1.31,
"R02254",-95.83,1.31,
"R02255",-2.49,1.23,
"R02256",-2.67,0.64,
"R02257",5.22,1.07,
"R02258",5.22,1.07,
"R02259",5.22,1.07,
"R02260",6.22,1.1,
"R02261",0.75,0.29,
"R02262",3.42,1.45,
"R02263",2.56,0.38,
"R02264","Not calculated","Not calculated","Involves unknown structures"
"R02265","Not calculated","Not calculated","Involves groups with unknown energies"
"R02266","Not calculated","Not calculated","Involves groups with unknown energies"
"R02267","Not calculated","Not calculated","Involves groups with unknown energies"
"R02268","Not calculated","Not calculated","Involves groups with unknown energies"
"R02269",-7.08,1.55,
"R02270",-3.09,0.54,
"R02271",1.46,0.3,
"R02272",1.46,0.3,
"R02273",-4.72,0.88,
"R02274",-1,0.35,
"R02276",-2,0.98,
"R02277",-27.95,0.76,
"R02278",-9.17,0.6,
"R02279",-12.26,0.84,
"R02280",11.6,1.31,
"R02281","Not calculated","Not calculated","Involves unknown structures"
"R02282",0,2,
"R02283",-1,0.35,
"R02284",-3.72,1.49,
"R02285",21.38,1.59,
"R02286",2.82,1.57,
"R02287",-0.07,2.25,
"R02288",-14.18,1.79,
"R02289","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02291",-0.36,1.2,
"R02292",-30.86,1.71,
"R02293",-1,0.35,
"R02294",-1.36,1.03,
"R02295",-1.36,1.03,
"R02296",1.58,0.97,
"R02297",1.58,0.97,
"R02298","Not calculated","Not calculated","Charge imbalanced"
"R02299",0,2,
"R02300",-1.41,1.76,
"R02301",-8.22,1.76,
"R02302",10.04,2.3,
"R02303",0,2,
"R02305","Not calculated","Not calculated","Involves groups with unknown energies"
"R02306",-12.65,3.31,
"R02307",-35.78,3.78,
"R02308","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02309","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02310",-3.33,0.59,
"R02311",-35.05,2.49,
"R02313",8.21,1.49,
"R02315",8.21,1.49,
"R02317",12.5,1.19,
"R02318",0,2,
"R02319",-6.82,0.72,
"R02320",4.61,0.65,
"R02321",-4.5,0.24,
"R02322",-4.72,0.88,
"R02323",-2.32,0.74,
"R02324",-4.5,0.24,
"R02325",-5.14,1.46,
"R02326",0,2,
"R02327",-4.5,0.24,
"R02328",1.07,0.75,
"R02329",1.07,0.75,
"R02330",-6.82,0.72,
"R02331",0,2,
"R02332",-4.5,0.24,
"R02333","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02334","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02335","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02336","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R02337","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R02338",-90.86,1.85,
"R02339","Not calculated","Not calculated","Charge imbalanced"
"R02340",2.78,0.53,
"R02341",-0.73,0.96,
"R02342",1.58,0.97,
"R02343",6.22,1.1,
"R02344",3.76,1.08,
"R02345",2.73,1.43,
"R02347",2.3,1.11,
"R02349",2.3,1.11,
"R02350",-4.5,0.24,
"R02351",121.58,3.76,
"R02352",2.3,1.11,
"R02353",2.3,1.11,
"R02354",-95.83,1.31,
"R02355",-95.83,1.31,
"R02356",-96.19,1.36,
"R02358",-1.7,0.63,
"R02359",1.14,1.2,
"R02360","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02361","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02362","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02363",-83.65,3.86,
"R02364","Not calculated","Not calculated","Involves unknown structures"
"R02365",-14.56,2.2,
"R02366",-3.61,1.18,
"R02367",-3.61,1.18,
"R02368",-2.14,0.68,
"R02369",0,2,
"R02370",-2.32,0.74,
"R02371",-4.5,0.24,
"R02372",-4.5,0.24,
"R02373",-29.41,0.8,
"R02374","Not calculated","Not calculated","Involves unknown structures"
"R02375",-3.61,1.18,
"R02376",-9.17,0.6,
"R02377",5.22,1.07,
"R02378",0.73,0.96,
"R02379",-4.36,2.22,
"R02380",-2.67,0.64,
"R02381",-2.14,0.68,
"R02382",-24.02,1.04,
"R02383",-95.83,1.31,
"R02384",-10.46,2.37,
"R02385",-5.29,1.26,
"R02387",-4.05,1.29,
"R02388",-11.54,0.77,
"R02389",-5.34,1.28,
"R02391",11.86,3.01,
"R02393",11.86,3.01,
"R02394",-85.05,5.67,
"R02395",3.76,1.08,
"R02396",-3.61,1.18,
"R02397",-108.28,0.78,
"R02398",-4.9,0.53,
"R02399","Not calculated","Not calculated","Involves unknown structures"
"R02401",-9.8,1.18,
"R02402",-1.06,1.21,
"R02404",-1.06,1.21,
"R02405",-1.06,1.21,
"R02406",-1.06,1.21,
"R02407",0,2,
"R02408","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02409","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02410",-3.11,0.69,
"R02411",0,2,
"R02412",-4.5,0.24,
"R02413",0.75,1.14,
"R02414",2.3,1.11,
"R02415",-42.97,4.38,
"R02416",-3.61,1.18,
"R02417",-99.72,3.04,
"R02418","Not calculated","Not calculated","Involves unknown structures"
"R02419",0.61,0.87,
"R02420","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R02421","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02422",10.95,1.19,
"R02423",2.73,1.3,
"R02424",-3.72,1.49,
"R02425",-3.72,1.49,
"R02426",-13.9,0.68,
"R02427",-7.28,1.26,
"R02428",-5.72,1.24,
"R02429",-8.17,0.69,
"R02430",-4.5,0.24,
"R02431",3.76,1.08,
"R02432",-17.11,2.49,
"R02433",0,2,
"R02434","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R02435","Not calculated","Not calculated","Charge imbalanced"
"R02436",-3.94,1.14,
"R02437",0.86,1.49,
"R02438",0.24,0.26,
"R02439",-4.55,1.19,
"R02441",3.81,1.64,
"R02442",-95.83,1.31,
"R02443",-191.65,2.63,
"R02444",-110.08,0.83,
"R02445",-121.16,1.17,
"R02446",8.37,1.84,
"R02447",0.2,4.81,
"R02449",-95.83,1.31,
"R02450",-8.14,1.6,
"R02451","Not calculated","Not calculated","Involves unknown structures"
"R02452",-5.29,1.26,
"R02453",-4.05,1.29,
"R02454",2.01,1.7,
"R02455",2.9,1.86,
"R02456",2.9,1.86,
"R02457",-23.02,1.06,
"R02458",-3.9,1.68,
"R02459",-1.24,0.38,
"R02460","Not calculated","Not calculated","Involves unknown structures"
"R02461",-1.81,0.26,
"R02462",5.22,1.07,
"R02463",16.55,1.19,
"R02464",2.56,0.38,
"R02465","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02466","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R02467","Not calculated","Not calculated","Involves groups with unknown energies"
"R02468",-99.87,1.61,
"R02469",-99.87,1.61,
"R02470",-96.26,1.54,
"R02471",5.22,1.07,
"R02472",6.22,1.1,
"R02473",-7.78,0.88,
"R02474",-0.46,0.85,
"R02476",2.3,1.11,
"R02477",2.3,1.11,
"R02478",-1.7,0.63,
"R02479","Not calculated","Not calculated","Involves unknown structures"
"R02480","Not calculated","Not calculated","Involves unknown structures"
"R02481",-5.29,1.26,
"R02482",-5.29,1.26,
"R02484",1.58,0.97,
"R02485",-5.14,1.46,
"R02486",-125.4,1.65,
"R02487","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02488","Not calculated","Not calculated","Involves unknown structures"
"R02489",-0.1,0.66,
"R02490",2.36,0.82,
"R02491",2.36,0.82,
"R02492","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02493",-4.5,0.24,
"R02494",2.32,0.74,
"R02497","Not calculated","Not calculated","Involves unknown structures"
"R02498","Not calculated","Not calculated","Involves unknown structures"
"R02499",-0.75,1.14,
"R02500",-0.75,1.14,
"R02501",-92.58,1.28,
"R02502",-1.7,0.63,
"R02503","Not calculated","Not calculated","Involves unknown structures"
"R02504","Not calculated","Not calculated","Involves groups with unknown energies"
"R02505",-25.9,4.97,
"R02506",-4.05,1.52,
"R02508",7.82,1.07,
"R02509",-0.96,1.66,
"R02511","Not calculated","Not calculated","Involves unknown structures"
"R02512","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02513",-9.82,2.22,
"R02514",-95.83,1.31,
"R02515",-95.83,1.31,
"R02516",-95.83,1.31,
"R02517",-95.83,1.31,
"R02518","Not calculated","Not calculated","Charge imbalanced"
"R02519",-81.87,1.41,
"R02520",-93.81,0.92,
"R02521",-109.72,0.84,
"R02522",-8.17,0.69,
"R02525",-7.28,1.26,
"R02526",-5.72,1.24,
"R02527",6.22,1.1,
"R02528",-7.68,1.09,
"R02529",-21.56,1.05,
"R02530",10.27,1.12,
"R02531",6.22,1.1,
"R02532",-24.02,1.04,
"R02533",-10.46,2.37,
"R02534",-4.36,2.22,
"R02535",-91.95,1.57,
"R02536",-9.8,1.18,
"R02537",-9.8,1.18,
"R02539",-2.49,1.23,
"R02540",-4.72,0.88,
"R02541",-4.81,0.69,
"R02542",-4.81,0.69,
"R02543",9.01,1.21,
"R02544",13.88,1.43,
"R02545",6.22,1.1,
"R02546",0,2,
"R02547",-3.63,1.96,
"R02548",2.3,1.11,
"R02549",-9.8,1.18,
"R02550",96.26,1.54,
"R02551",5.31,1.06,
"R02552",5.31,1.06,
"R02553",2.3,1.11,
"R02554",-97.25,1.52,
"R02555",2.01,1.7,
"R02556",-8.48,1.32,
"R02557",1.58,0.97,
"R02558",-3.11,0.69,
"R02559","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02560","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02561",-95.93,1.39,
"R02562",-95.93,1.39,
"R02563",-4.5,0.24,
"R02564",-14.28,1.16,
"R02565",-9.8,1.18,
"R02566",-9.8,1.18,
"R02567","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02568",4.31,1.23,
"R02569",0,2,
"R02570",0,2,
"R02571",0,2,
"R02572",0,2,
"R02573",-6.74,2.33,
"R02574",-7.78,2.23,
"R02575",1.93,0.76,
"R02576",-5.29,1.26,
"R02577",5.22,1.07,
"R02580",2.21,1.11,
"R02581",2.3,1.11,
"R02583",-7.84,0.88,
"R02584",-4.5,0.24,
"R02585",-2.32,0.74,
"R02586",-4.5,0.24,
"R02587",-2.32,0.74,
"R02588",-3.11,0.69,
"R02589",-95.83,1.31,
"R02590","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02591",-4.81,0.69,
"R02592","Not calculated","Not calculated","Involves unknown structures"
"R02593",3.67,1.1,
"R02594",-1.7,0.63,
"R02595",-3.11,0.69,
"R02596","Not calculated","Not calculated","Involves unknown structures"
"R02597",-2.32,0.74,
"R02598",-4.81,0.69,
"R02599",-3.43,0.74,
"R02600","Not calculated","Not calculated","Involves unknown structures"
"R02601",-8,1.04,
"R02602",0.94,0.88,
"R02603",11.92,0.71,
"R02604",10.72,0.86,
"R02605","Not calculated","Not calculated","Involves groups with unknown energies"
"R02606",-11.92,0.71,
"R02607",6.22,1.1,
"R02609",13.57,1.55,
"R02610",13.57,1.55,
"R02611",5.22,1.07,
"R02612","Not calculated","Not calculated","Involves unknown structures"
"R02613",-24.02,1.04,
"R02615",-14.6,1.84,
"R02616",-3.61,1.18,
"R02617","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02618","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02619","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02620","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02621","Not calculated","Not calculated","Involves groups with unknown energies"
"R02622",-4.72,0.88,
"R02623",-5.33,2.22,
"R02624",1.11,0.84,
"R02625",9.39,0.93,
"R02626",9.39,0.93,
"R02627",-6.74,2.33,
"R02628",4.78,1.13,
"R02630",-13.89,0.95,
"R02631",-13.89,0.95,
"R02632",-4.5,0.24,
"R02633",-4.5,0.24,
"R02634",-1.07,0.75,
"R02636",-1.29,0.61,
"R02637",8.68,1.14,
"R02639",8.68,1.14,
"R02640",3.76,1.08,
"R02642","Not calculated","Not calculated","Involves unknown structures"
"R02643","Not calculated","Not calculated","Involves unknown structures"
"R02644",-1.55,0.24,
"R02645","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02646","Not calculated","Not calculated","Involves unknown structures"
"R02648",-13.53,1.47,
"R02649",2.63,0.29,
"R02650",-4.5,0.24,
"R02651",-2,1.61,
"R02652",0,2,
"R02654",-1.7,0.63,
"R02655",-9.8,1.18,
"R02656",-77.86,1.36,
"R02657",41.51,0.89,
"R02658",-4.5,0.24,
"R02659",4.02,1.28,
"R02660",-78.11,1.62,
"R02661","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02662",0,2,
"R02663","Not calculated","Not calculated","Involves unknown structures"
"R02664",-4.5,0.24,
"R02665",-72.01,1.62,
"R02666",-29.45,3.26,
"R02667",-20.64,2.21,
"R02668",-12.81,0.56,
"R02669",-0.1,0.66,
"R02670","Not calculated","Not calculated","Charge imbalanced"
"R02671","Not calculated","Not calculated","Involves unknown structures"
"R02672",-4.09,0.6,
"R02673",-31.13,0.94,
"R02675","Not calculated","Not calculated","Involves unknown structures"
"R02676",23.57,5.29,
"R02677",-9.31,0.75,
"R02678",-9.8,1.18,
"R02679",5.22,1.07,
"R02680",5.22,1.07,
"R02681","Not calculated","Not calculated","Charge imbalanced"
"R02682","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02683",2.21,1.11,
"R02684",2.3,1.11,
"R02685",2.16,0.77,
"R02687",-2.14,0.68,
"R02688",-2.14,0.68,
"R02689",-1.7,0.63,
"R02691",-1.7,0.63,
"R02692",0,2,
"R02693",0,2,
"R02694","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02695",-9.8,1.18,
