"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
"C([C@@H](C(=O)[O-])[NH3+])C(=O)[O-]",49,"L-Aspartate",-695.88,-934.41,-1,6,0,"train","Alberty (2003)",
,51,"Glutathione(red)",34.17,,-2,15,0,"test","Alberty (2003)",
,51,"Glutathione(red)",-13.44,,-1,16,0,"test","Alberty (2003)",
,55,"CMP",-845.95,,-2,12,0,"test","Alberty (2003) beta","Cytidine0=0"
,55,"CMP",-884.36,,-1,13,0,"test","Alberty (2003) beta","Cytidine0=0"
,55,"CMP",-909.45,,0,14,0,"test","Alberty (2003) beta","Cytidine0=0"
"C(=O)[O-]",58,"Formate",-351,-425.55,-1,1,0,"test","Alberty (2003)",
"[O-]S(=O)(=O)[O-]",59,"Sulfate",-744.53,-909.27,-2,0,0,"test","Alberty (2003) beta",
"OS(=O)(=O)[O-]",59,"Sulfate",-755.91,-887.34,-1,1,0,"test","Alberty (2003) beta",
,61,"FMN(ox)",0,,-2,19,0,"test","Alberty (2003)",
,63,"CTP",-2573.6,,-4,12,0,"test","Alberty (2003) beta","Cytidine0=0"
,63,"CTP",-2616.98,,-3,13,0,"test","Alberty (2003) beta","Cytidine0=0"
,63,"CTP",-2645.98,,-2,14,0,"test","Alberty (2003) beta","Cytidine0=0"
"C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+]",64,"L-Glutamine",-528.02,-805,0,10,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])[NH3+])O",65,"L-Serine",-510.87,,0,7,0,"train","Alberty (2003)",
"CSCC[C@@H](C(=O)[O-])[NH3+]",73,"L-Methionine",-502.92,,0,11,0,"train","Alberty (2003)",
"C=C(C(=O)[O-])OP(=O)([O-])[O-]",74,"Phosphoenolpyruvate",-1263.65,-1621.38,-3,2,0,"train","Alberty (2003)",
"C=C(C(=O)[O-])OP(=O)([O-])O",74,"Phosphoenolpyruvate",-1303.61,-1619.58,-2,3,0,"train","Alberty (2003)",
,75,"UTP",-2727.23,,-5,10,0,"test","Alberty (2003) beta","Cytidine0=0"
,75,"UTP",-2788.25,,-4,11,0,"test","Alberty (2003) beta","Cytidine0=0"
,75,"UTP",-2831.63,,-3,12,0,"test","Alberty (2003) beta","Cytidine0=0"
"c1ccc2c(c1)c(C[C@@H](C(=O)[O-])[NH3+])c[nH]2",78,"L-Tryptophan",-114.7,-405.2,0,12,0,"train","Alberty (2003)",
"c1ccc(cc1)C[C@@H](C(=O)[O-])[NH3+]",79,"L-Phenylalanine",-207.1,,0,11,0,"train","Alberty (2003)",
,80,"H+",0,0,0,0,0,"test","Alberty (2003)",
,81,"ITP",-2982.9,,-4,11,0,"test","Alberty (2003) beta",
,81,"ITP",-3026.28,,-3,12,0,"test","Alberty (2003) beta",
"c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])O",82,"L-Tyrosine",-370.7,,0,11,0,"train","Alberty (2003)",
"CC=O",84,"Acetaldehyde",-139,-212.23,0,4,0,"train","Alberty (2003)",
"O1C(CO)(O)C(O)C(O)C1COP([O-])([O-])=O",85,"D-Fructose-6-phosphate",-1760.8,-2265.17,-2,11,0,"train","Alberty (2003)",
"O1C(CO)(O)C(O)C(O)C1COP([O-])(O)=O",85,"D-Fructose-6-phosphate",-1796.6,-2263.37,-1,12,0,"train","Alberty (2003)",
"C(N)(N)=O",86,"Urea",-202.8,-317.65,0,4,0,"test","Alberty (2003)",
"N(=O)[O-]",88,"Nitrite",-32.2,-104.6,-1,0,0,"test","Alberty (2003) beta",
"N(=O)O",88,"Nitrite",-50.6,-119.2,0,1,0,"test","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]1(CO)[C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O",89,"Sucrose",-1564.7,-2199.87,0,22,0,"train","Alberty (2003)",
"CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O",91,"Succinyl-CoA",-509.59,,-1,39,0,"train","Alberty (2003)","CoA(-1) = 0"
"CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)CCC(=O)O)O)O)O",91,"Succinyl-CoA",-533.76,,0,40,0,"train","Alberty (2003)","CoA(-1) = 0"
"C([C@H](COP(=O)([O-])[O-])O)O",93,"sn-Glycerol-3-phosphate",-1358.96,-1724.59,-2,7,0,"train","Alberty (2003)",
"C([C@H](COP(=O)([O-])O)O)O",93,"sn-Glycerol-3-phosphate",-1397.04,-1722.79,-1,8,0,"train","Alberty (2003)",
"[O-]S(=O)[O-]",94,"Sulfite",-486.5,-635.5,-2,0,0,"test","Alberty (2003) beta",
"OS(=O)[O-]",94,"Sulfite",-527.78,-626.22,-1,1,0,"test","Alberty (2003) beta",
"C(C1C(C(C(O1)(CO)O)O)O)O",95,"D-Fructose",-915.51,-1259.38,0,12,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])[NH3+])[SH0-]",97,"L-cysteine",-291,,-1,6,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])[NH3+])S",97,"L-cysteine",-338.82,,0,7,0,"train","Alberty (2003)",
"CCC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O",100,"Propanoyl-CoA",-179.14,,0,40,0,"train","Alberty (2003) beta","CoA-1=0"
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O",103,"D-Glucose-1-phosphate",-1756.87,,-2,11,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])O)O)O)O)O",103,"D-Glucose-1-phosphate",-1793.98,,-1,12,0,"train","Alberty (2003)",
,104,"IDP",-2121.01,,-3,11,0,"test","Alberty (2003) beta",
,104,"IDP",-2161.99,,-2,12,0,"test","Alberty (2003) beta",
,105,"UMP",-1002.21,,-3,10,0,"test","Alberty (2003) beta","Cytidine0=0"
,105,"UMP",-1060.6,,-2,11,0,"test","Alberty (2003) beta","Cytidine0=0"
,105,"UMP",-1099.01,,-1,12,0,"test","Alberty (2003) beta","Cytidine0=0"
,106,"Uracil",347.48,,-1,3,0,"test","Alberty (2003) beta","Cytidine0=0"
,106,"Uracil",293.25,,0,4,0,"test","Alberty (2003) beta","Cytidine0=0"
"C(C(=O)COP(=O)([O-])[O-])O",111,"Dihydroxyacetone-P",-1296.26,,-2,5,0,"train","Alberty (2003)",
"C(C(=O)COP(=O)([O-])O)O",111,"Dihydroxyacetone-P",-1328.8,,-1,6,0,"train","Alberty (2003)",
,112,"CDP",-1711.63,,-3,12,0,"test","Alberty (2003) beta","Cytidine0=0"
,112,"CDP",-1752.6,,-2,13,0,"test","Alberty (2003) beta","Cytidine0=0"
,112,"CDP",-1779.77,,-1,14,0,"test","Alberty (2003) beta","Cytidine0=0"
