"cid","log10(Km)"
117,-0.404503778174426
118,-0.3767507096021
119,-1.40616033891873
120,-3.52287874528034
121,0.602059991327962
122,-0.556737012541305
123,0.0413926851582251
124,1.68124123737559
125,-2.74472749489669
126,-1.28587989243451
127,-1.22914798835786
128,-1.09691001300806
129,-1.74714696902011
130,-1.39200914145283
131,-2.11350927482752
132,1.04921802267018
133,0.406540180433955
134,-0.698970004336019
135,-0.283996656365201
136,-1.34678748622466
137,0.465382851448418
138,-1.83863199776503
139,-1.82390874094432
140,0.724275869600789
141,-0.321026624080235
143,-1.36653154442041
144,-1.95078197732982
146,0.505149978319906
147,-0.387216143280264
148,0.146128035678238
149,0.103803720955957
152,-0.241466577762713
153,-1.15490195998574
154,-1.53760200210104
155,-0.960585880823863
156,-1.49485002168009
157,-0.0942041196321315
158,-0.698970004336019
159,-0.465339424171556
160,-0.795880017344075
163,0.455986239067319
164,-0.170696227168975
165,-1.20065945054642
166,-0.638272163982407
167,-0.682981898951888
168,-0.920818753952375
169,-0.809668301829709
170,-1.98716277529483
175,-2.3767507096021
177,0.385159238580042
178,-1
179,-0.00436480540245009
180,-1.82535880733955
181,0.757775491011926
183,-0.0969100130080564
184,-0.283996656365201
185,0.259474419531075
186,0.278753600952829
187,-0.853871964321762
188,0.86123561863404
189,-0.767003889607846
190,-1.60205999132796
191,-0.221848749616356
192,-0.0457574905606751
195,-0.610833915635468
196,-0.777023550106609
197,-0.314258261397736
198,0.966141732739033
199,-0.455931955649724
202,0.47567118832443
203,-1.58502665202918
204,0.595385980809142
207,-1.72353819582676
208,1.25982076117314
209,0.550228353055094
212,-1.31875876262441
213,0.419129307741976
214,-1.30102999566398
216,1.61752453488629
217,0.954242509439325
218,1.66275783168157
219,-1.98927613460823
221,0.658011396657112
222,-1.56463349338734
223,-0.721246399047171
224,-1.76955107862173
227,-0.279840696594043
229,-1.79588001734408
230,-1.29670862188134
231,-0.286803566274752
232,-0.744727494896694
233,-0.752947825143385
234,-1.87614835903291
235,-1.87942606879415
236,-1.69897000433602
237,-1.23657200643706
239,-1.1249387366083
240,-3.16115090926274
242,-2.16115090926274
243,1.22271647114758
244,-0.698970004336019
245,0.980003371583746
246,0.0474695746198565
247,2.26007138798507
248,0.249198357391113
249,-2.19044028536473
250,-1.43770713554353
251,-1.86486734862323
252,0.634980800051229
253,-1.0268721464003
254,-0.782516055786094
255,-1.60205999132796
256,0.431363764158987
257,0.380211241711606
258,-0.00855240199619714
259,2.29754166781816
261,-0.356497974672
262,-1.34582345812204
263,-0.387216143280264
265,-1.09577148365992
266,-0.858550226599533
267,1.47712125471966
268,-2.39794000867204
269,-1.13667713987954
270,-0.0656909626499211
272,-1.80271944187438
275,0.0413926851582251
279,-0.715569266155481
280,-1.39794000867204
282,-1.20065945054642
283,-0.154901959985743
286,-1.53760200210104
288,0.146128035678238
292,0.438542348786111
294,-1.01772876696043
295,-0.958607314841775
296,-0.431798275933005
299,-0.269823575836519
300,0.959041392321094
301,-1.07058107428571
307,-1.43179827593301
309,-0.0942041196321315
310,0.195899652409234
311,-0.681936665037238
312,0
313,-0.615915526617442
314,-0.537602002101044
315,-1.43770713554353
318,-0.794524963259109
319,-0.731656086048935
320,0.451018452155457
322,0.155639633759776
323,-1.24033215531037
325,-1.65560772631489
326,-3.22914798835786
327,0.151523067564944
328,-0.148313684557572
329,-0.397940008672038
330,-1.54136215097435
331,-1.1249387366083
332,-1.61978875828839
333,-0.193650412859533
334,0.380211241711606
337,-1.58502665202918
338,-1.69897000433602
341,-2.34678748622466
342,-1.54515513999149
343,-1.06298389253519
344,-1.2518119729938
345,-1.01322826573376
346,-1.15335367142288
348,-0.795880017344075
349,-1.72124639904717
350,-1.24412514432751
352,-0.619788758288394
353,-2.08354605145007
354,0.950608224784231
355,0.176091259055681
356,-1.39794000867204
357,-0.522878745280338
360,0
361,-0.709965388637482
362,-1.08751223866768
363,-0.869666231504994
364,-0.504455662453552
365,0.198959338670203
366,-1.48148606012211
369,0.0606978403536117
371,-1.26360349772336
372,-2.14874165128092
376,-1.42164735848964
378,-1.93367407463796
379,1.60205999132796
380,0.0549958615291415
381,-0.750801642608887
385,-1.80966830182971
386,0.602059991327962
387,-1.10058991922755
388,-1.04095860767891
389,-2.17392519729917
390,-1.96859153574838
392,1.50514997831991
394,-0.638272163982407
395,-1.09963287134353
398,-0.301029995663981
399,-1.69897000433602
400,-0.7972393126068
401,0.0365750043761559
402,1.50310943667137
404,1.17609125905568
406,-1.53239189441637
407,0.113943352306837
408,1.12385164096709
409,-0.392544976785331
