#name:Shigella dysenteriae, Apex, Kuntumalla et al
#score:3.6
#weight:100%
#description:MS/MS Apex data from <a href="http://www.ncbi.nlm.nih.gov/pubmed/19563668" target="_blank">Kuntumalla et al., Proteome Science, 2009</a><br/><b>PaxDB score</b>: 3.6&nbsp<b>Coverage</b>: 25%
#
#internal_id	string_external_id	abundance
3056731	300267.SDY_0325	223.885971194
3056732	300267.SDY_0326	313.165652959
3056733	300267.SDY_0327	1368.30091367
3056746	300267.SDY_0344	667.028450652
3056747	300267.SDY_0345	526.850932214
3056756	300267.SDY_0354	1868.83896457
3056758	300267.SDY_0356	604.167649802
3056789	300267.SDY_0389	624.065386772
3056791	300267.SDY_0392	1055.46243563
3056796	300267.SDY_0397	436.290610532
3056805	300267.SDY_0407	649.413992374
3056808	300267.SDY_0410	346.242257777
3056831	300267.SDY_0434	97.0983722897
3056834	300267.SDY_0437	179.198600815
3056835	300267.SDY_0438	599.031031058
3056840	300267.SDY_0445	1989.02232169
3056841	300267.SDY_0446	2181.10568753
3056843	300267.SDY_0448	979.262512251
3056845	300267.SDY_0450	374.159172802
3056849	300267.SDY_0454	52.4035016659
3056851	300267.SDY_0456	542.218528112
3056852	300267.SDY_0457	96.1835827795
3056867	300267.SDY_0473	2057.51637251
3056868	300267.SDY_0474	175.847445879
3056874	300267.SDY_0480	2121.65468595
3056895	300267.SDY_0501	1246.76207267
3056896	300267.SDY_0502	323.075958432
3056919	300267.SDY_0525	127.980662617
3056921	300267.SDY_0527	149.507117166
3056932	300267.SDY_0540	5469.21443917
3056933	300267.SDY_0541	908.788081264
3056934	300267.SDY_0542	1483.3478276
3056945	300267.SDY_0553	873.647946274
3056946	300267.SDY_0554	496.28056948
3056955	300267.SDY_0564	984.302816015
3056958	300267.SDY_0567	731.467778968
3056978	300267.SDY_0592	1725.63752427
3056982	300267.SDY_0596	146.283573974
3056984	300267.SDY_0598	115.638190947
3056986	300267.SDY_0609	294.820140285
3056988	300267.SDY_0611	359.961729375
3056989	300267.SDY_0612	882.712475361
3056991	300267.SDY_0614	394.519569429
3057000	300267.SDY_0623	1086.08513686
3057001	300267.SDY_0624	1059.25497043
3057005	300267.SDY_0628	603.369906727
3057016	300267.SDY_0642	622.512212589
3057018	300267.SDY_0645	378.118529128
3057021	300267.SDY_0648	192.938450338
3057022	300267.SDY_0649	77.9498276671
3057030	300267.SDY_0658	6525.52646976
3057032	300267.SDY_0660	1884.60975752
3057033	300267.SDY_0661	2366.79455262
3057034	300267.SDY_0662	1947.68921199
3057036	300267.SDY_0664	3675.4947364
3057037	300267.SDY_0665	4141.82638983
3057038	300267.SDY_0666	2755.50528782
3057039	300267.SDY_0667	2801.7590137
3057052	300267.SDY_0680	667.098117835
3057053	300267.SDY_0681	1651.48828163
3057056	300267.SDY_0684	113.79681848
3057059	300267.SDY_0687	162.222462179
3057060	300267.SDY_0688	925.422634132
3057061	300267.SDY_0689	586.414677285
3057062	300267.SDY_0690	697.213678099
3057066	300267.SDY_0697	1006.54087331
3057070	300267.SDY_0701	386.951434125
3057071	300267.SDY_0702	3412.62593845
3057072	300267.SDY_0703	597.12902745
3057073	300267.SDY_0704	611.387469626
3057074	300267.SDY_0705	805.747166324
3057075	300267.SDY_0706	927.948433239
3057077	300267.SDY_0708	148.636443438
3057109	300267.SDY_0741	409.772947277
3057112	300267.SDY_0744	285.705231897
3057125	300267.SDY_0757	386.526212768
3057127	300267.SDY_0759	403.688520042
3057128	300267.SDY_0760	386.433320143
3057130	300267.SDY_0762	271.246465101
3057144	300267.SDY_0776	270.391229683
3057150	300267.SDY_0783	16958.8375852
3057152	300267.SDY_0785	1127.76049676
3057164	300267.SDY_0798	491.27682405
3057165	300267.SDY_0799	873.3429016
3057187	300267.SDY_0821	443.327555863
3057188	300267.SDY_0822	1067.0879139
3057189	300267.SDY_0823	172.28640792
3057190	300267.SDY_0824	2005.1740181
3057193	300267.SDY_0827	193.176866712
3057199	300267.SDY_0833	1390.95938159
