CID,name,nH,nMg,nC,nN,nO,nS,nP,ne-
185,Cellobiose,22,0,12,0,11,0,0,182
186,(S)-Lactate,5,0,3,0,3,0,0,48
188,L-Threonine,9,0,4,1,3,0,0,64
189,Ethanolamine,8,0,2,1,1,0,0,34
190,UDP-D-xylose,20,0,14,2,16,0,2,278
191,D-Glucuronate,9,0,6,0,7,0,0,102
197,3-Phospho-D-glycerate,4,0,3,0,7,0,1,96
198,"D-Glucono-1,5-lactone",10,0,6,0,6,0,0,94
199,D-Ribulose 5-phosphate,9,0,5,0,8,0,1,120
206,dADP,13,0,10,5,9,0,2,212
207,Acetone,6,0,3,0,1,0,0,32
208,Maltose,22,0,12,0,11,0,0,182
209,Oxalate,0,0,2,0,4,0,0,46
212,Adenosine,13,0,10,5,4,0,0,140
214,Thymidine,14,0,10,2,5,0,0,128
216,D-Arabinose,10,0,5,0,5,0,0,80
217,D-Glutamate,8,0,5,1,4,0,0,78
218,Methylamine,6,0,1,1,0,0,0,18
219,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid",31,0,20,0,2,0,0,168
222,3-Oxopropanoate,3,0,3,0,3,0,0,46
224,Adenylyl sulfate,12,0,10,5,10,1,1,220
225,Methyl viologen,14,0,12,2,0,0,0,100
227,Acetyl phosphate,3,0,2,0,5,0,1,72
231,D-Xylulose 5-phosphate,9,0,5,0,8,0,1,120
232,Succinate semialdehyde,5,0,4,0,3,0,0,54
233,4-Methyl-2-oxopentanoate,9,0,6,0,3,0,0,70
234,10-Formyltetrahydrofolate,21,0,20,7,7,0,0,248
235,Dimethylallyl diphosphate,10,0,5,0,7,0,2,128
236,3-Phospho-D-glyceroyl phosphate,4,0,3,0,10,0,2,136
237,CO,0,0,1,0,1,0,0,14
239,dCMP,12,0,9,3,7,0,1,160
242,Guanine,5,0,5,5,1,0,0,78
243,Lactose,22,0,12,0,11,0,0,182
244,Nitrate,0,0,0,1,3,0,0,32
246,Butanoic acid,7,0,4,0,2,0,0,48
247,L-Sorbose,12,0,6,0,6,0,0,96
249,Hexadecanoic acid,31,0,16,0,2,0,0,144
250,Pyridoxal,9,0,8,1,3,0,0,88
251,Chorismate,8,0,10,0,6,0,0,118
252,Isomaltose,22,0,12,0,11,0,0,182
253,Nicotinate,4,0,6,1,2,0,0,64
256,(R)-Lactate,5,0,3,0,3,0,0,48
257,D-Gluconic acid,11,0,6,0,7,0,0,104
258,D-Glycerate,5,0,3,0,4,0,0,56
259,L-Arabinose,10,0,5,0,5,0,0,80
261,Benzaldehyde,6,0,7,0,1,0,0,56
262,Hypoxanthine,4,0,5,4,1,0,0,70
263,L-Homoserine,9,0,4,1,3,0,0,64
266,Glycolaldehyde,4,0,2,0,2,0,0,32
270,N-Acetylneuraminate,18,0,11,1,9,0,0,164
273,5-Dehydro-D-fructose,10,0,6,0,6,0,0,94
275,D-Mannose 6-phosphate,11,0,6,0,9,0,1,136
