"cid","nH","z","dG0","estimated"
"314","11","0","-445.959852451653","1"
"315","19","0","-26.6495958592197","1"
"315","21","2","-63.7367994018477","1"
"315","20","1","-45.1931976305337","1"
"317","52","0","-3557.17961179854","1"
"319","38","1","-161.760102059371","1"
"319","37","0","-143.216500288057","1"
"322","7","-1","-809.264135465477","1"
"322","8","0","-836.182312479482","1"
"322","6","-2","-782.345958451472","1"
"323","42","0","-320.196104626648","1"
"327","14","1","-583.72744075236","1"
"327","12","-1","-538.265661967041","1"
"327","13","0","-556.809263738355","1"
"328","13","1","-352.7522786973","1"
"328","14","2","-379.670455711306","1"
"328","11","-1","-315.665075154673","1"
"328","12","0","-334.208676925987","1"
"329","14","1","-768.419045480997","1"
"329","13","0","-749.875443709683","1"
"330","13","0","-422.434336811032","1"
"331","8","-1","-233.524479396014","1"
"331","9","0","-260.442656410019","1"
"332","40","0","-285.32","0"
"333","10","0","-1116.64951352379","1"
"333","9","-1","-1089.73133650979","1"
"334","8","-1","-342.174888215193","1"
"334","9","0","-360.718489986507","1"
"334","10","1","-387.636667000512","1"
"337","5","-1","-619.689857770154","1"
"337","6","0","-646.608034784159","1"
"341","17","-3","-1684.11721457383","1"
"341","18","-2","-1720.49267432549","1"
"345","10","-3","-1963.94491611302","1"
"345","12","-1","-2027.23855287868","1"
"345","11","-2","-1990.86309312703","1"
"346","7","-1","-1040.39893995003","1"
"346","8","0","-1076.77439970168","1"
"346","6","-2","-1021.85533817872","1"
"348","90","-1","163.450632402038","1"
"348","89","-2","199.826092153691","1"
"349","5","-1","-459.061417326631","1"
"349","6","0","-485.979594340636","1"
"352","13","-1","-1609.6650813673","1"
"352","12","-2","-1591.12147959598","1"
"352","14","0","-1646.04054111895","1"
"353","33","-3","-1457.89056795799","1"
"353","34","-2","-1494.26602770965","1"
"354","11","-3","-2639.36","0"
"354","10","-4","-2601.4","0"
"354","12","-2","-2673.89","0"
"355","11","0","-596.047101261656","1"
"355","10","-1","-577.503499490342","1"
"355","12","1","-622.965278275661","1"
"356","43","-1","-658.782358532101","1"
"356","44","0","-685.700535546106","1"
"360","13","-1","-916.790228599315","1"
"360","14","0","-953.165688350968","1"
"360","12","-2","-892.142401429124","1"
"361","13","-2","-2165.97922940522","1"
"361","12","-3","-2129.60376965357","1"
"362","13","-1","-1300.05583244898","1"
"362","12","-2","-1263.68037269733","1"
"363","13","-3","-2282.28517237796","1"
"363","14","-2","-2318.66063212961","1"
"364","13","-2","-1416.36177542172","1"
"364","14","-1","-1452.73723517338","1"
"365","12","-1","-1410.66482824818","1"
"365","11","-2","-1374.28936849652","1"
"366","3","-1","-325.9","0"
"366","4","0","-356.9","0"
"371","13","0","138.94601775835","1"
"376","28","0","0.0","0"
"379","12","0","-784.09","0"
"380","6","1","481.64","0"
"380","5","0","507.9","0"
"381","44","0","282.314210130183","1"
"383","2","-2","-688.997927441946","1"
"383","3","-1","-715.916104455951","1"
"383","4","0","-742.834281469956","1"
"385","3","-1","335.49","0"
"385","4","0","293.25","0"
"387","12","-1","52.86","0"
"387","13","0","0.0","0"
"388","9","0","84.4407223720017","1"
"388","10","1","65.8971206006877","1"
"390","92","0","-89.92","0"
"392","14","0","-942.61","0"
"396","4","0","208.386232071919","1"
"397","42","5","-1637.85754612436","1"
"397","41","4","-1619.31394435304","1"
"397","38","1","-1563.6831390391","1"
"397","40","3","-1600.77034258173","1"
"397","37","0","-1545.13953726779","1"
"397","39","2","-1582.22674081042","1"
"398","13","1","195.070135495597","1"
"398","12","0","213.613737266911","1"
"399","90","0","0.0","0"
"400","20","0","-559.612332049942","1"
"402","5","-2","-675.20033470146","1"
"402","8","1","-747.580290500784","1"
"402","7","0","-720.662113486779","1"
"402","6","-1","-693.743936472774","1"
"406","44","0","-262.90896732963","1"
"407","13","0","-343.9","0"
"408","11","0","-656.619317090643","1"
"408","10","-1","-629.701140076638","1"
"409","3","-1","38.0039222028619","1"
"409","4","0","-9.81607779715173","1"
"411","46","0","-410.386564207065","1"
"412","70","0","-74.3722440418386","1"
"413","40","1","-2124.33734033276","1"
"413","41","2","-2142.88094210407","1"
"413","39","0","-2105.79373856144","1"
"414","10","0","-312.853769885789","1"
"415","19","-2","-700.850525234598","1"
"415","20","-1","-727.768702248603","1"
"415","21","0","-754.686879262608","1"
"417","3","-3","-917.13","0"
"418","11","-1","-662.175907157763","1"
"418","12","0","-689.094084171768","1"
"420","32","0","-2235.70553476613","1"
"423","7","-1","-128.75","0"
"424","6","0","-290.528684977208","1"
"429","6","0","-302.842487579317","1"
"430","8","-1","-449.457212078013","1"
"430","9","0","-468.000813849327","1"
"430","10","1","-494.918990863332","1"
"431","11","0","-353.75134355986","1"
"431","10","-1","-335.207741788546","1"
"431","12","1","-380.669520573866","1"
"433","5","-1","-564.543354301858","1"
"433","6","0","-591.461531315863","1"
"436","14","1","-230.750963678735","1"
"436","13","0","-212.207361907421","1"
"438","7","-1","-912.006878207799","1"
"438","8","0","-938.925055221804","1"
"438","6","-2","-885.088701193793","1"
"439","10","0","-769.265905371438","1"
"439","9","-1","-742.347728357433","1"
"439","8","-2","-715.429551343428","1"
"440","24","-1","-660.240745088257","1"
"440","25","0","-687.158922102262","1"
"440","23","-2","-633.322568074252","1"
"441","8","1","-495.892362910518","1"
"441","7","0","-468.974185896513","1"
"441","6","-1","-450.430584125199","1"
"446","12","-1","-1791.85295337167","1"
"446","11","-2","-1755.47749362002","1"
"447","12","-4","-2736.97339708607","1"
"447","13","-3","-2773.34885683772","1"
"447","14","-2","-2809.72431658938","1"
"448","25","-3","-1571.00389126591","1"
"448","26","-2","-1607.37935101757","1"
"449","17","-3","-1004.68779592527","1"
"449","18","-2","-1023.23139769659","1"
"449","21","1","-1103.9859287386","1"
"449","19","-1","-1050.14957471059","1"
"449","20","0","-1077.0677517246","1"
"450","8","-1","-553.029648026454","1"
"450","9","0","-579.94782504046","1"
"451","7","-1","-1212.48385638648","1"
"451","8","0","-1239.40203340048","1"
"451","5","-3","-1158.64750235847","1"
"451","6","-2","-1185.56567937247","1"
"455","15","-1","803.32","0"
"455","14","-2","840.08","0"
"458","12","-4","-3062.97040288684","1"
"458","13","-3","-3099.34586263849","1"
"459","13","-4","-3148.20856933419","1"
"459","14","-3","-3184.58402908585","1"
"460","12","-3","-3142.51162216065","1"
"460","11","-4","-3106.13616240899","1"
"463","7","0","223.8","0"
"466","8","0","-291.355699817614","1"
"469","6","0","-181.64","0"
"470","26","0","-2842.95970213636","1"
"470","23","-3","-2762.20517109434","1"
"470","25","-1","-2816.04152512235","1"
"470","24","-2","-2789.12334810834","1"
"472","4","0","111.16775797456","1"
"473","30","0","-27.91","0"
"474","12","0","-774.8","0"
"475","14","1","-22.09","0"
"475","13","0","0.0","0"
"476","10","0","-749.14","0"
"478","10","0","-616.590478121766","1"
"479","6","0","-133.003117267011","1"
"481","4","0","110.915149669125","1"
"482","11","-1","-589.279991608797","1"
"482","12","0","-616.198168622802","1"
"483","11","0","-46.6804652562694","1"
"483","12","1","-65.2240670275834","1"
"486","34","-2","-517.397637118044","1"
"486","35","-1","-544.315814132049","1"
"486","36","0","-571.233991146054","1"
"488","3","0","-196.507918490253","1"
"489","7","-1","-701.981811602657","1"
"489","8","0","-728.899988616663","1"
"489","6","-2","-675.063634588652","1"
"490","5","-1","-612.679997174651","1"
"490","6","0","-639.598174188656","1"
"490","4","-2","-585.761820160646","1"
"491","12","0","-666.51","0"
"492","32","0","-2238.05305351623","1"
"493","10","0","-1091.57009794845","1"
"493","9","-1","-1064.65192093444","1"
"494","40","3","-1224.83250479527","1"
"494","38","1","-1187.74530125264","1"
"494","39","2","-1206.28890302396","1"
"494","37","0","-1169.20169948133","1"
"494","41","4","-1243.37610656659","1"
"495","16","0","-945.813595617745","1"
"497","5","-1","-866.474525739501","1"
"497","6","0","-893.392702753506","1"
"497","4","-2","-839.556348725496","1"
"499","7","-1","-769.055467739315","1"
"499","8","0","-795.97364475332","1"
"500","34","0","-375.332158893072","1"
"500","33","-1","-348.413981879067","1"
"500","32","-2","-321.495804865062","1"
"502","10","0","-999.058635957178","1"
"502","9","-1","-972.140458943173","1"
"503","10","0","-646.082158883553","1"
"504","19","0","-725.13241558637","1"
"504","18","-1","-698.214238572365","1"
"504","17","-2","-671.29606155836","1"
"507","12","0","-758.506276911115","1"
"508","10","0","-775.231485069048","1"
"509","12","0","-467.620956794744","1"
"510","68","0","10.8721697339629","1"
"511","3","-1","-261.504230814151","1"
"511","4","0","-288.422407828156","1"
"512","40","0","-9.84534290683764","1"
"514","11","-1","-1122.69888022672","1"
"514","12","0","-1149.61705724073","1"
"515","13","1","-365.464499017335","1"
"515","14","2","-392.38267603134","1"
"515","11","-1","-328.377295474707","1"
"515","12","0","-346.920897246021","1"
