#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
AT3G50660	O64989	CYP90B1	
AT3G50740		UGT72E1	
AT3G51160	P93031	MUR1	
AT3G51820	Q38833	G4	
AT3G51840		AT3G51840	
AT3G52940	Q9LDR4	FK	
AT3G53130	Q6TBX7	LUT1	
AT3G53320		AUD3	
AT3G53520	Q9LFG7	UXS1	
AT3G55030		PGPS2	
AT3G55360		CER10	
AT3G55440	P48491	CTIMC	
AT3G55630		DHFS/FPGS4	
AT3G56940	Q9M591	CHL27	
AT3G57050		CBL1	
AT3G57785	Q8L3S7	at3g57785	
AT3G59050	Q9LYT1	PAO3	
AT3G59380	Q9LX33	FTA	
AT3G59760		oasC	
AT3G59970		AtMTHFR-1	
AT3G61440		At3g61440	
AT3G61530		PANB2	
AT3G61580		AT3G61580	
AT3G62410	Q9LZP9	CP12-2	
AT3G62830	Q39077	UXS2	
AT3G63110	Q93WC9	IPT3	
AT3G63520	Q8GRI2	CCD1	
AT4G00550		DGD2	
AT4G01690	P55826	PPOX	
AT4G02280		SUS3	
AT4G02580	O22769	at4g02580	
AT4G03050		AOP3	
AT4G03060		AOP2	
AT4G04610		APR1	
AT4G04870		AT4G04870	
AT4G04930	Q9ZPH4	At4G04930	
AT4G04955		AtALN	
AT4G08900	P46637	arginase	
AT4G10100		Cnx7	
AT4G11820	P54873	BAP1	
AT4G11850		PLD gamma	
AT4G13250		AT4G13250	
AT4G13430	Q94AR8	At4G13430	
AT4G13510	P54144	AMT1.1	
AT4G13770		At4g13770	
AT4G14210	Q3EA34	PDS	
AT4G14680		APS3	
AT4G14880		oasA1	
AT4G14940	O48552	ATAO1	
AT4G15340		PEN1	
AT4G15370		BARS1	
AT4G15560	Q38854	CLA1	
AT4G16130	O23461	ARA1	
AT4G16450	O23489	at4g16450	
AT4G16566	Q8L9E2	AT4G16566	
AT4G16740	A4FVP2	TPS03	
AT4G16760		AT4G16760	
AT4G17050	Q680J5	UGlyAH	
AT4G17090		CT-BMY	
AT4G17190	Q43315	FPS2	
AT4G18350		NCED2	
AT4G19230	Q949P1	CYP707A1	
AT4G19680	O81850	IRT2	
AT4G19690	Q38856	IRT1	
AT4G20070	O49434	AAH	
AT4G20150	Q94AL6	at4g20150	
AT4G21200		GA2ox8	
AT4G21540	O65419	At4G21540	
AT4G21990		APR3	
AT4G23100	P46309	GSH1	
AT4G23660	Q93YP7	AT4G23660	
AT4G24620	Q9SB57	PGI1	
AT4G24650	Q9SB60	IPT4	
AT4G25080	Q9SW18	CHLM	
AT4G25100		FSD1	
AT4G25420	Q39110	GA20ox1	
AT4G25700	Q9SZZ8	&beta;-OHase 1	
AT4G26260	Q6XGZ9	MIOX4	
AT4G26420		AT4G26420	
AT4G26850		VTC2	
AT4G26900		At-HF	
AT4G27260		GH3.5	
AT4G27440		PORB	
AT4G29010		AIM1	
AT4G29130	Q42525	HXK1	
AT4G29460		AtsPLA2-gamma	
AT4G29740	Q9FUJ2	CKX4	
AT4G30530	Q9M0A7	AT4G30530	
AT4G30580		ATS2	
AT4G30950		FAD6	
AT4G31500		At4g31500	
AT4G31780		MGD1	
AT4G32180	Q8L5Y9	AtPANK2	
AT4G32210	O49369	SDH3-2	
AT4G32540		yucca	
AT4G33680		AT4G33680	
AT4G34135		<i>UGT73B2</i>	
AT4G34138	Q56ZD5	UGT73B1	
AT4G34230		AtCAD5	
AT4G34350	Q94B35	IspH	
AT4G34520		FAE1	
AT4G34640	P53799	SQS1	
AT4G34650	O23118	SQS2	
AT4G34890	Q8GUQ8	XDH1	
AT4G35090	P25819	CAT2	
AT4G35630		PSAT	
AT4G35790		PLD delta	
AT4G36220		FAH1	
AT4G36380	Q9M066	CYP90C1	
AT4G36480		LCB1	
AT4G36810	P34802	GGPS1	
AT4G37000		RCCR	
AT4G37070		AtPLA IVA	
AT4G37390		GH3.2	
AT4G37830	Q9SZT8	COXVIa	
AT4G39940		AKN2	
AT4G39950		CYP79B2	
AT5G03300		ADK2	
AT5G03860		MLS	
AT5G04040		SDP1	
AT5G04140		GLU1	
AT5G04490	Q9LZ76	VTE5	
AT5G04590		SIR	
AT5G04620		AtbioF	
AT5G04900		AT5G04900	
AT5G05260		AT5G05260	
AT5G05580	P48622	FAD8	
AT5G05690	Q42569	CYP90A1	
AT5G05860	Q9FIA0	UGT76C2	
AT5G05870	Q9FI99	UGT76C1	
AT5G05980		DHFS/FPGS2	
AT5G06580		AT5G06580	
AT5G07010		ST2A	
AT5G07200	Q39112	GA20ox3	
AT5G07370	Q9LF72	IPK2&alpha;	
AT5G07440		GDH2	
AT5G08280	Q43316	HEMC	
AT5G08335	Q93W54	STE14B	
AT5G08530	Q9FNN5	at5g08530	
AT5G09600	O49369	SDH3-1	
AT5G09640		SNG2	
AT5G10480		AT5G10480	
AT5G10870		AtCM2	
AT5G11770	Q42577	at5g11770	
AT5G11880		AT5G11880	
AT5G12200		PYD2	
AT5G13050		AtFCL	
AT5G13320		AT5G13320	
AT5G13440		at5g13440	
AT5G13630	Q8RY14	GUN5	
AT5G13640		AT5G13640	
AT5G13700	Q9FNA2	PAO1	
AT5G13710	Q9LM02	SMT1	
AT5G13930	P13114	CHS	
AT5G14200	Q9FMT1	At5G14200	
AT5G14760		At5g14760	
AT5G15860	Q94AS5	PCME	
AT5G16390		At5g16390	
AT5G16440	Q38929	IPP1	
AT5G16570		GLN1;4	
AT5G16760	Q9SBA5	ITPK1	
AT5G17050		At5g17050	
AT5G17230	P37271	PSY	
AT5G17330		GAD1	
AT5G17920		AtMS1	
AT5G18100		CSD3	
AT5G18170		GDH1	
AT5G19040	Q94IC9	IPT5	
AT5G20410		MGD2	
AT5G20830	P49040	SUS1	
AT5G20960		AAO1	
AT5G20990		cnx1	
AT5G22300		At5g22300	
AT5G23010		MAM1	
AT5G23310		FSD3	
AT5G23320		STE14A	
AT5G23670		LCB2	
AT5G23960	Q84YI3	AT5G23960	
AT5G24400		AT5G24400	
AT5G25980		AT5G25980	
AT5G26000		AT5G26000	
AT5G26310		UGT72E3	
AT5G27380		GSH2	
AT5G27450		MVK	
AT5G27600		LACS7	
AT5G28840	Q93VR3	GME	
AT5G33290	Q94AA9	XGD1	
AT5G34930		TyrAAT1	
AT5G35360		At5g35360	
AT5G35630		GLN2	
AT5G37180		SUS5	
AT5G37300		AT5G37300	
AT5G37510	Q9FGI6	at5g37510	
AT5G37600		GLN1;1	
AT5G38410		rbcS3B	
AT5G38420		rbcS2B	
AT5G38430		rbcS1B	
AT5G38450		CYP735A1	
AT5G38970	Q9FMA5	CYP85A1	
AT5G40280	Q38920	ERA1	
AT5G40650	Q9FM32	SDH2	
AT5G40810	Q94A63	at5g40810	
AT5G41480	Q8W041	DHFS	
AT5G42600		MRN1	
AT5G42650		AOS	
AT5G42810		IPK1	
AT5G43600	Q8VXY9	AtUAH	
AT5G43780		APS4	
AT5G43860	Q9M7I7	CLH2	
AT5G44630		AT5G44630	
AT5G45340	Q9FH76	CYP707A3	
AT5G47770	Q09152	FPS1	
AT5G47990	Q9FI39	THAD	
AT5G48000		THAH	
AT5G48010		THAS	
AT5G48180		AtNSP5	
AT5G48840	Q9FKB3	PANC	
AT5G48930		At5g48930	
AT5G49460		ACLB-2	
AT5G49740	Q3KTM0	FRO2	
AT5G49810		AT5G49810	
AT5G50210		At5g50210	
AT5G50375	Q9M643	CPI1	
AT5G50950	Q9FI53	FUM2	
AT5G51100	O04879	FSD2	
AT5G51290		AT5G51290	
AT5G51810	Q39111	GA20ox2	
AT5G52570	Q9LTG0	&beta;-OHase 2	
AT5G52840	Q9FLX7	at5g52840	
AT5G54160		OMT1	
AT5G54190		PORA	
AT5G54510		GH3.6	
AT5G54770		THI1	
AT5G55120		VTC5	
AT5G55250		IAMT1	
AT5G55500	Q9LDH0	XylT	
AT5G56300		AT5G56300	
AT5G56760		SAT52	
AT5G56970	Q9LTS3	CKX3	
AT5G57030	Q38932	LUT2	
AT5G57220		AT5G57220	
AT5G57850	Q8L493	AY099783	
AT5G58220	Q9LVM5	AT5G58220	
AT5G59290	Q9FIE8	UXS3	
AT5G60540	Q8LAD0	At5G60540	
AT5G60600	Q8GZR7	GcpE	
AT5G61760	Q9FLT2	IPK2&beta;	
AT5G62530		At5g62530	
AT5G62575	Q9C5E8	SDH7-2	
AT5G62790	Q9XFS9	DXR	
AT5G63510	Q9FMV1	at5g63510	
AT5G63570	P42799	GSA1	
AT5G63910	P57681	AT5G63910	
AT5G64370	Q8H183	PYD3	
AT5G65110		AT5G65110	
AT5G66510	Q94AU7	at5g66510	
AT5G66690		UGT72E2	
AT5G66760	O82663	SDH1	
AT5G67030	Q8RXE6	ABA1	
AT5G67590	Q9FJW4	at5g67590	
ATCG00500		ATCG00500	
ATMG00060	P29388	NAD5c	
ATMG00070	Q95748	NAD9	
ATMG00160	P93285	COX2	
ATMG00280		ATMG00280	
ATMG00510	P93306	NAD7	
ATMG00513	P29388	NAD5a	
ATMG00516	P92558	NAD1b	
ATMG00665	P29388	NAD5b	
ATMG00730	P92514	COX3	
ATMG01120	P92558	NAD1a	
ATMG01360	P60620	COX1	
BBE	P30986	BBE	
BBSB	Q9KJF3	bbsB	
BBSC	Q9KJF2	bbsC	
BBSD	Q9KJF1	bbsD	
BBSE	Q9KJF0	bbsE	
BBSF	Q9KJE9	bbsF	
BBSG	Q9KJE8	bbsG	
BBSH	Q9KJE7	bbsH	
BSU24530	P54511	lipM	
CISZOG1	Q93XP7	<i>cis</i>ZOG1	
CISZOG2	Q8RXA5	<i>cis</i>ZOG2	
