#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
G-10954	Q5P5G5	apc4	
G-10955	Q5P5G6	apc5	
G-10956	Q5P5G7	bal	
G-10957	Q5P5K2	fadA	
G-10958	Q5P8T3	pchC	
G-10959	Q5P8T2	pchF	
G-10960	Q5P8S7	chnA	
G-10961	Q5P8S3	xccA	
G-10962	Q5P8S1	xccB	
G-10963	Q5P8S2	xccC	
G-10964	Q5P8R9	acsA	
G-10965	Q5P8S8	tioL	
G-10966	Q5P3F3	hcrA	
G-10967	Q5P3F4	hcrB	
G-10968	Q5P3F2	hcrC	
G-10969	Q5P8S6	ebA309	
G-10970	P0A115	clcD	
G-10971	O30847	clcE	
G-10972	P10088	tfdA	
G-10973	P27138	tfdBI	
G-10974	Q46M62	tfdBII	
G-10975	Q44493	AlgE4	
G-10976	O24676	tecA1	
G-10977	O24677	tecA2	
G-10978	O24678	tecA3	
G-10979	O24679	tecA4	
G-10980	A7KX05	cbsB	
G-10982	P11759	algD	
G-10983	Q0KAB0	benD	
G-10984		benA	
G-10985		benB	
G-10986		benC	
G-10987	O69264	tecB	
G-10988	P27098	tcbC	
G-10989	P05404	tfdDI	
G-10990	Q706U0	clcB	
G-10991	P27099	tcbD	
G-10992	P27100	tcbE	
G-10993	Q52387	tcbB	
G-10994	Q52383	tcbAa	
G-10995	Q52384	tcbAb	
G-10996	Q52385	tcbAc	
G-10997	Q52386	tcbAd	
G-10998	P27136	tfdEI	
G-10999	P42428	tfdDII	
G-11	Q9I6J2	spuC	
G-110	O05895	alkB	
G-11000	P27137	tfdFI	
G-11001	P27101	tcbF	
G-11002	P11451	clcA	
G-11003	P0A396	tfdC	
G-11004	B3Y522	DCD	
G-11005	A8R7G4	ACH	
G-11007	A8R7G3	ACX	
G-11008	Q91ZW6	Tmlhe	
G-11009	Q9JLJ3	Aldh9a1	
G-1101	Q39033	AtPLC2	
G-11010	Q9QZU7	Bbox1	
G-11011	Q0VH44	salA	
G-11012	Q0VH42	salD	
G-11013	Q4KPK2	salC	
G-11014	B5U697	ccaC	
G-11015	P32198	Cpt1a	
G-11016	Q704S8	Crat	
G-11017	P18886	Cpt2	
G-11018	P18163	Acs1	
G-11019	P97521	Cact	
G-1102	Q39032	AtPLC1	
G-11020	O06499	D78338	
G-11021	A7BJ36	KcCAS	
G-11025	A7BJ35	RcCAS	
G-11026	Q05K37	KcMS	
G-11027	A8CDT2	BgbAS	
G-11028	A8CDT3	BgLUS	
G-11029	A8C980	RsM1	
G-11030	A8C981	RsM2	
G-11031		OSCBPW	
G-11032	Q9KX73	xyoA	
G-11033	Q9FCA7	rppA	
G-11034	Q9FCA6	sco1207	
G-11035		lolS	
G-11036	A7TZT2	mfpsA	
G-11037	A9CK30	mfppA	
G-11038	Q55781	ftrV	
G-11039	Q55389	ftrC	
G-11041	P21673	SAT1	
G-11042	Q8C0L6	Paox	
G-11043	Q9NWM0	SMOX	
G-11045	O76140	pyr4	
G-11046	Q9CFW8	pyrDB	
G-11047	Q9CFW7	pyrK	
G-11048	Q941S0	cs1	
G-11049	Q93WU1	AvbAS1	
G-11050	Q8NKG8	AB085690	
G-11051	P73906	tyrAa	
G-11054	Q9UR19	vpl1	
G-11055	O94753	vpl2	
G-11056	P14920	DAO	
G-11057	A3KCL7	DDO	
G-11059	Q603D4	MCA2873	
G-11060	Q603D5	MCA2872	
G-11061	Q5W283	MxPSS1	
G-11064	O48935	Tspa11	
G-11065	P35196	RER2	
G-11066	Q03175	SRT1	
G-11067	A7ISW5	HMA8	
G-11069	Q9SZC9	PAA1	
G-11070	Q7Y051	PAA2	
G-11072	Q49HL5	HMA1	
G-11073	Q9SH30	HMA5	
G-11074	O82089	ATX1	
G-11075		1	
G-11076	O35826	Gne	
G-11077	P72010	egsA	
G-11078	O26652	MTH_552	
G-11079	O27170	MTH_1098	
G-11080	O27106	MTH1027	
G-11081	P39823	pssA	
G-11082	Q9NR45	NANS	
G-11083	Q9JJH0	Nans	
G-11084	O25511	pseB	
G-11085	Q5M969	Nanp	
G-11086	Q8TBE9	NANP	
G-11087	O25130	pseC	
G-11088	P69060	Cmas	
G-11089	Q99KK2	Cmas	
G-11090	Q0P8U0	pseI	
G-11095	Q61419	Cmah	
G-11097	Q9DCN2	Cyb5r3	
G-11098	O27026	ppcA	
G-11099	P56810	porA	
G-111	Q00593	alkJ	
G-11100	O27771	porB	
G-11101	O27772	porC	
G-11102	P56815	porD	
G-11103	O26149	eno	
G-11104	O27120	tpiA	
G-11105	O26518	apgM2	
G-11106	O27628	apgM1	
G-11107	O27939	pycA	
G-11108	O27179	pycB	
G-11109	Q6M0D0	picA	
G-11110	Q6M0D1	picB	
G-11111	Q50565	cab	
G-11112	Q47400	neuC	
G-11113	Q79DN7	SiaA	
G-11114	Q7DDU0	siaC	
G-11115	P13266	neuA	
G-11116	O26290	mdh	
G-11117	Q58822	MJ1427	
G-11118	Q8A711	BT1714	
G-11119	Q8A712	BT1713	
G-11120	Q8A710	BT1715	
G-11121	Q90WG6	cmas	
G-11122	Q38998	AKT1	
G-11123	Q39128	KAT1	
G-11125	Q8LBL1	KCO1	
G-11126	O24382	SKT1	
G-11127	Q41461	KST1	
G-11128	O34667	luxS	
G-11129	P54419	metK	
G-11130	P80877	metE	
G-11131	Q9M8S6	SKOR	
G-11132	B0LUE4	luxS	
G-11133	Q9KPI8	mtnN	
G-11134	Q7MWT9	luxS	
G-11135	P12747	luxI	
G-11136	P54291	rhlI	
G-11137	P33907	traI	
G-11138	P33883	lasI	
G-11139	Q56687	ainS	
G-11140	P14756	lasB	
G-11141	Q57749	MJ0301	
G-11142	Q58167	MJ0757	
G-11143	P06732	CKM	
G-11144	P12277	CKB	
G-11145	P09979	hyg	
G-11146		pyrDa	
G-11147	Q41515	HKT1	
G-11148	Q84TI7	HKT1	
G-11149	Q9LLM4	HKT1	
G-11150	Q9FVK0	HKT2	
G-11151	Q67VS5	OsHAK10	
G-11152	Q8H3P9	OsHAK7	
G-11153	Q6VVA6	OsHAK1	
G-11154	O22397	KUP1	
G-11155	Q9I194	pvdQ	
G-11156		aiiD	
G-11157	Q9L8R8	aiiA	
G-11158	Q58923	tpiA	
G-11159	Q58980	MJ1585	
G-11160	Q6LXF7	aroD	
G-11161	Q57843	MJ0400	
G-11162	P12532	CKMT1B	
G-11163	P17540	CKMT2	
G-11164	Q58646	MJ1249	
G-11165	Q58085	arfC	
G-11166	Q42883	LCA1	
G-11167	Q57609	arfA	
G-11168	Q58185	mptA	
G-11169	P92939	ECA1	
G-11170	O23087	ECA2	
G-11171	Q58584	ribC	
G-11172	Q60364	ribB	
G-11173	Q57751	ribH	
G-11174	P54575	ribC	
G-11175	P16440	ribE	
G-11176	P11998	ribH	
G-11177	Q9SY55	ECA3	
G-11178	A5DHJ1	RIB3	
G-11179	Q37145	PEA1	
G-11180	Q58077	MJ0663	
G-11181	Q58297	cofC	
G-11182	Q57600	purP	
G-11183	Q58043	purO	
G-11184	Q58881	purT	
G-11185	Q60352	MJ0044	
G-11188	Q58487	mvk	
G-11190	O08424	hmgA	
G-11191	P61615	fni	
G-11193	Q53479	idsA	
G-11194	P00862	hdcA	
G-11197	Q58504	thrB	
G-11198	Q58860	thrC	
G-11199	P16453	Hdc	
G-112		alkH	
G-11201	P28577	hdc	
G-11202	Q5W9E3	linF	
G-11203	Q9M678	SS	
G-11205	A0F0B5	catA	
G-11206	A0F0B3	catB	
G-11207	A0F0B4	catC	
G-11208	Q01984	Hnmt	
G-11214	Q9TRC7	ABP1	
G-11215	P50135	HNMT	
G-11216	O51799	mmlI	
G-11217	Q471R4	mmlJ	
G-11218	P80573	catC	
G-11219	O81108	ACA2	
G-11220	Q9FVE8	SCA1	
G-11221	P93067	BCA1	
G-11222	Q9XD04	cprA	
G-11223	Q8G9L1	clcB2	
G-11224	Q8G9L3	clcA2	
G-11225	Q8G9L0	clcF	
G-11226	Q8G9L2	clcD2	
G-11227	O84992	clcE	
G-11230	P15245	GI:170525	
G-11231	Q8KN40	pcpE	
G-11232	Q51592	tftA	
G-11233	Q51593	tftB	
G-11234	O87008	tftC	
G-11235	O87009	tftD	
G-11236	Q45075	tftG	
G-11238	Q45076	tftH	
G-11239	Q45072	tftE	
G-11241	Q2PGG3	sr	
G-11242	A5HUN0	sr	
G-11244		SerR	
G-11245	Q38M36	cnbG	
G-11246	Q38M37	cnbF	
G-11247	Q38M38	cnbE	
G-11248	O33478	amnA	
G-11249	O33477	amnB	
G-11250	Q9KWS5	amnC	
G-11251	Q9KWS2	amnD	
G-11252	Q9KWS4	amnE	
G-11253	Q9SZW5	HMA3	
G-11254	Q9Z417	cbzE	
G-11255	A5JTM6	fcbA	
G-11256	A5JTM5	fcbB	
G-11257	P56653	fcbC	
G-11258	A5JTM8	pobA	
G-11259	Q44256	cbaA	
G-11260	Q44257	cbaB	
G-11261	Q44258	cbaC	
G-11266	Q51601	cbdA	
G-11267	Q51602	cbdB	
G-11268	Q51603	cbdC	
G-11269	O52379	nagG	
G-11270	O52380	nagH	
G-11271	Q9FZ96	pup1	
G-11272	O86041	nagI	
G-11273	O86043	nagL	
G-11274	O86042	nagK	
G-11275	B6TET5	pp	
G-11276	Q8NLC1	Cgl3021	
G-11277	Q9F131	xlnD	
G-11278		JAR4	
G-11279		JAR6	
G-11280	Q94GB1	pup2	
G-11281		<i>SOMT-9</i>	
G-11284	Q41760	LPE1	
G-11288	Q9SHZ3	NAT1	
G-11289	Q94C70	NAT2	
G-11290	Q8GZD4	NAT3	
G-11291	P93039	NAT4	
G-11292	Q8RWE9	NAT5	
G-11293	Q27GI3	NAT6	
G-11294	Q0WPE9	NAT7	
G-11295		NAT8	
G-11296	Q3E956	NAT 9	
G-11297	O04472	NAT 10	
G-11298	Q6SZ87	NAT 11	
G-11299	Q3E7D0	NAT 12	
G-113	Q00594	alkK	
G-11306	P09933	TPO	
G-11307	P10605	Ctsb	
G-11308	P55097	Ctsk	
G-11309	P06797	Ctsl1	
G-11314	Q9FT37	TASY	
G-11315	P09110	ACAA1	
G-11316	P42765	ACAA2	
G-11317	Q2XSC4	LaBERS	
G-11318	B8XA41	SBS	
G-11319	P07339	CTSD	
G-11320	B8XA40	zFPS	
G-11321	Q49SP4	PatTpsB15	
G-11322	Q49SP6	PatTpsBF2	
G-11323	Q49SP5	PatTpsCF2	
G-11324	Q49SP7	PatTpsA	
G-11325	Q49SP3	PatTps177	
G-11326	Q8GS16	PME4	
G-11327	Q02096	pAVOpg	
G-11328	P48979	pg	
G-11329	P48978	PG	
G-11330	B4YYR2	GBS	
G-11331	B5MG05	mqnC	
G-11332	B5MG03	mqnA	
G-11333	B5MG06	mqnD	
G-11334	Q9ZS34	chlP	
G-11335	B1B1U3	zss1	
G-11336	Q96WT2	ACS	
G-11337	A2PZA5	PaDC4:GGS	
G-11338	O87690	cbiX	
G-11339	Q8Q0G3	cbiZ	
G-11340	O68107	cobZ	
G-11341	Q8PVB3	cobZ	
G-11342	Q8TUT1	cbiS	
G-11343	B0R5X6	cobY	
G-11344	B0R5X4	cbiB	
G-11345	O27184	cobS	
G-11346	Q8PSE1	cobA	
G-11348	P24389	Dio1	
G-11349	Q8YHT7	cobR	
G-11350	Q92813	DIO2	
G-11351	P55073	DIO3	
G-11356	Q9A6Q5	thiC	
G-11359	Q9BVG9	PTDSS2	
G-11360	B1B1U4	zss2	
G-11362	P50225	SULT1A1	
G-11363	Q66PX8	bcp	
G-11364	Q8SA63	QHS1	
G-11365	Q6ZJL3	OsTPS3	
G-11366	B2C4D4	TPS23	
G-11367	P35503	UGT1A3	
G-11368	Q9HAW9	UGT1A8	
G-11369	B2C4D0	tps23	
G-11370	B2C4D5	tps23	
G-11371	P70697	Urod	
G-11372		BOT2	
G-11373	B1XHV0	cruF	
G-11374	B1XHU9	cruG	
G-11375	B1XIX7	crtR	
G-11376	A5A545	cruA	
G-11377	A5A547	cruE	
G-11378	B1XJ59	cruH	
G-11379	A6N7G2	PuFAD9	
G-11380	P17058	crtC	
G-11381	P17054	crtI	
G-11382	P17059	crtD	
G-11383	P17061	crtF	
G-11384	P17056	crtB	
G-11385	P17060	crtE	
G-11386	P17055	crtA	
G-11387	P21688	crtZ	
G-11388	P21687	crtY	
G-11389	Q47843	crtX	
G-11390	Q81RQ4	asbF	
G-11391	Q81RQ8	asbB	
G-11392	Q81RQ9	asbA	
G-11393	Q81RQ7	asbC	
G-11394	Q81RQ5	asbE	
G-11395	Q81RQ6	asbD	
G-11397	B3TPQ6	Mg25	
G-11398	B3TPQ7	Mg17	
G-11399	P97364	Sephs2	
G-114	P95442	atzB	
G-11400	Q6Q3H2	Val	
G-11401	Q71MJ3	Tps1	
G-11402	C1JXK7	Valcs	
G-11403	Q20HU6	dss	
G-11404	O30520	serS	
G-11405	Q58933	pstK	
G-11406	Q8BP74	Pstk	
G-11408	Q5SBP7	SES	
G-11409		BSC	
G-11411	Q6LZM9	spcS	
G-11412	Q6P6M7	Sepsecs	
G-11413	B1Q2B6	OLS	
G-11414		SGT	
G-11415		TAG	
G-11417		ACX1A	
G-11419		<i>PPDBR</i>	
G-11420		<i>PPDBR</i>	
G-11422	B0LAZ9	AO1	
G-11423	B0LB00	AO2	
G-11424	B0LB01	AO3	
G-11425	Q9FV25	AO1	
G-11426	Q9FV24	AO2	
G-11427	P59287	cs	
G-11428	P22220	SPE1	
G-11429	Q9M618	MADC2	
G-11430	Q9M617	MADC3	
G-11431	Q43075	ADC	
G-11432	P49726	ADC	
G-11434	Q5UNS2	ARG1	
G-11435	Q5UNS1	ARG2	
G-11436	Q8S3N2	ODC	
G-11437	P50134	ODC	
G-11438	O22616	odc	
G-11439	P80041	DDC	
G-11441	P21396	Maoa	
G-11442	P50578	AKR1A1	
G-11443	Q59054	sepS	
G-11444	Q59072	pscS	
G-11445	O26802	gatD	
G-11446	O26803	gatE	
G-11448	P48775	TDO2	
G-11449	P14902	INDO	
G-11450	Q8K4H1	Afmid	
G-11451	O15229	KMO	
G-11452	C4MBZ5	PKS3	
G-11453	Q16773	CCBL1	
G-11454	P70712	Kynu	
G-11455	P46952	HAAO	
G-11456	Q8TDX5	ACMSD	
G-11457	Q3L7F5	OKS	
G-11458	B4YPU5	OKS	
G-11459	A9KHK4	Cphy_1920	
G-11460	Q76KX0	laaA	
G-11461	Q75SP7	ramA	
G-11462	C4NF90	PKS4	
G-11463	C4NF91	PKS5	
G-11464	P37956	splB	
G-11465	O48652	UVR3	
G-11466	B2DBF0	PaDC1	
G-11467	Q8IL04	HDP	
G-11468	A1IHK4	PKS	
G-11469	Q9AU11	PKS1	
G-11470	Q9AU09	PKS3	
G-11471	Q975C8	acr	
G-11472	Q0K2K2	gabT	
G-11473	Q0K2K1	gabD1	
G-11474	Q5IW38	ppm	
G-11475	O86938	ppd	
G-11476	Q5IW36	phpF	
G-11479	Q5IW41	phpC	
G-11481	Q5IW40	phpD	
G-11482	Q5IW39	phpE	
G-11483	Q5IW32	phpJ	
G-11484	P11435	bcpA	
G-11485	Q5IW35	phpG	
G-11486	Q5IW34	phpH	
G-11487	Q9LCB4	pmmS	
G-11488	Q5IW57	pmi	
G-11490	B6D7P2	HCT2	
G-11492	B6DQK4	HCT1b	
G-11493	B6D7P1	HCT1a	
G-11494	Q54273	bcpD	
G-11495	Q01109	bah	
G-11497	Q57146	bar	
G-11498	Q56170	phsA	
G-11499	Q4JFF4	phsB	
G-115	O52063	atzC	
G-11500	Q4JFF2	phsC	
G-11501	O24645	HCBT1	
G-11502	O23917	HCBT2	
G-11503	O23918	HCBT3	
G-11504	O65017	ACS3	
G-11505	O65018	ACS2	
G-11506		GAT	
G-11507	P00507	Got2	
G-11508	P14173	Ddc	
G-11509	B7J3C9	tetH	
G-11510	Q9I6M4	PA0266	
G-11511	Q9I6M5	PA0265	
G-11512	B4YSH4	str	
G-11513	Q94LW9	str	
G-11518	Q9S595	rebG	
G-11519	Q8KHZ8	rebH	
G-11520	Q8KHS0	rebO	
G-11521	Q8KHV6	rebD	
G-11522	Q8KI25	rebC	
G-11523	Q8KIC8	rebP	
G-11525	Q8KI52	rebM	
G-11526	Q8KI76	rebF	
G-11528	Q8H0D7	tdc	
G-11529	P93082	tdc1	
G-11530	P93083	tdc2	
G-11534	P00333	ADH1	
G-11535	P14673	ADH1	
G-11536	P22734	Comt	
G-11537	P04694	Tat	
G-11539	P51850	PDC1	
G-11540	P12886	adh	
G-11541	C4TP01	praA	
G-11542	C4TP08	praH	
G-11543	C4TP02	praB	
G-11544	C4TP07	praC	
G-11545	C4TP06	praD	
G-11547	Q75T30	proL	
G-11548	Q60FX1	ligM	
G-11549	Q7WST1	desA	
G-11550	Q7WYU8	desZ	
G-11551	P22635	ligA	
G-11552	P22636	ligB	
G-11553	Q9AQI1	proH	
G-11554	Q5C9L3	BBE	
G-11555	Q5NTE5	desB	
G-11556	A2PZP3	ligV	
G-11557	Q8RJ47	ligW	
G-11558	Q9ZN84	ligX	
G-11559	O82834	ligZ	
G-11560	Q9Z9I9	ligY	
G-11561	Q84IP8	ligW2	
G-11562	Q01198	ligD	
G-11563	C0SUK1	ligN	
G-11564	C0SUJ9	ligL	
G-11565	P30347	ligF	
G-11566	P27457	ligE	
G-11567	Q9WXJ9	ligG	
G-11568	Q8RR27	ferA	
G-11569	Q8RR28	ferB	
G-11570	Q8RR26	ferB2	
G-11571	C1FW05	ord	
G-11572	C1FW06	ortA	
G-11573	C1FW07	ortB	
G-11574	C1FW08	orr	
G-11575	Q9ZER2	pauA	
G-11576	P08319	ADH4	
G-11577		nokA	
G-11578		nokB	
G-11579		nokC	
G-11580		nokD	
G-11581		nokL	
G-11582		nokJ	
G-11583		nokK	
G-11584	Q83WF7	staMB	
G-11585	Q83WG2	staMA	
G-11586	Q83WG6	staN	
G-11587	Q83WG5	staG	
G-11588	Q83WG3	staP	
G-11589	A3KBE8	staC	
G-11590	Q8GRF3	staD	
G-11591	Q83WG4	staO	
G-11592	Q9SE00	PAP1	
G-11593	Q9SDZ9	PAP2	
G-11594	Q09131	PAP	
G-11595	O27726	MTH1691	
G-11596	O27105	MTH1026	
G-11597	P06197	PIS1	
G-11598	P83380	SAP1	
G-116		ndhA	
G-11600	P22985	Xdh	
G-11602	Q84KS8	PAP21	
G-11603	Q84KZ1	PAP19	
G-11604	Q84KZ3	PAP4	
G-11605	Q9BXI3	NT5C1A	
G-11606	P49902	NT5C2	
G-1161		AtLPP1	
G-11612	Q01433	AMPD2	
G-11613	P00813	ADA	
G-11614		FGT	
G-11615	P07250	IPK2	
G-11616	Q9Y2T3	GDA	
G-11617	P42837	FIG4	
G-11618	P53950	VAC7	
G-11619	Q06708	VAC14	
G-1162		AtLPP2	
G-11620	O30916	sopB	
G-11621	Q9UPY5	SLC7A11	
G-11622	P08195	SLC3A2	
G-11623	P32368	SAC1	
G-11624	Q8WUK0	PTPMT1	
G-11625	P63407	accD6	
G-11626	P14262	plcA	
G-11627	O89049	Txnrd1	
G-11628	P35754	GLRX	
G-11629	Q54N49	ino1	
G-11630	P05307	P4HB	
G-11631	C8YX87	acuK	
G-11632	C8YX88	acuN	
G-11633	C8YX89	dddA	
G-11634	C8YX90	dddC	
G-11635	O53434	Rv1086	
G-11637		desA	
G-11638		desB	
G-11639	A4YI81	Msed_1993	
G-11640	Q0HWI9	pubC	
G-11641	Q0HWI8	pubB	
G-11642	Q0HWI7	pubA	
G-11643	Q44740	alcA	
G-11644	P94254	alcB	
G-11645	O52833	alcE	
G-11646	P94255	alcC	
G-11647	B6EP92	bibA	
G-11648	B6EP93	bibB	
G-11649	B6EP94	bibC	
G-11650	P78329	CYP4F2	
G-11651	P60479	uppS	
G-11652	P0A5L2	murA	
G-11653	B5AFK3	murB	
G-11654	P65472	murC	
G-11655	O06222	murD	
G-11656	P65477	murE	
G-11657	P0A5L4	murF	
G-11658	P95114	ddl	
G-11659		murI	
G-11660	P64259	mraY	
G-11661	O06224	murG	
G-11662	O06239	uppP	
G-11663	O53638	ldt	
G-11665	P00492	HPRT1	
G-11666	P27696	budB	
G-11669	O05542	adhA	
G-11670	Q47945	adhB	
G-11671	O05544	adhS	
G-11672	Q97F53	splB	
G-11674	Q4VNK0	SMT	
G-11675	A4ZGQ8	HMT1	
G-11676	P72351	pon1	
G-11677	Q10606	rfe	
G-11678	Q7D5T2	wbbL	
G-11679	Q6MWV3	galE1	
G-11680	O06934	glf	
G-11681	O53585	glfT2	
G-11682	P56707	SMTA	
G-11683	O53583	Rv3806c	
G-11684	P72056	Rv3790	
G-11685	P66783	Rv3791	
G-11686	P33261	CYP2C19	
G-11687	P05177	CYP1A2	
G-11688	Q16678	CYP1B1	
G-11689		PRX1	
G-11690		PRX2	
G-11691		PRX3	
G-11692	P0A560	embA	
G-11693	P72030	embB	
G-11694	P72059	embC	
G-11696	P05164	MPO	
G-11697	P0A5H8	Rv3398c	
G-11698	Q7D4V6	glfT1	
G-11699	P71970	aftC	
G-117		ndhB	
G-11700	P72058	aftA	
G-11701	O53582	aftB	
G-11702	Q57580	ArfB	
G-11704	P07738	BPGM	
G-11705	Q58037	mptN	
G-11706	A4D0H5	pyrH	
G-11707	Q56950	ybtE	
G-11708	Q0WFN8	ybtU	
G-11709	Q9Z373	irp1	
G-11710	Q7CI41	irp2	
G-11711	Q9X9I8	irp9	
G-11712	Q8KQL2	APDH	
G-11713	Q9HWG3	pchD	
G-11714	Q9RFM8	pchE	
G-11715	Q9RFM7	pchF	
G-11716	Q9HWG5	pchG	
G-11717	Q51507	pchB	
G-11718	Q51508	pchA	
G-11719	Q51548	pvdA	
G-11720	Q9I184	pvdF	
G-11721	Q9I168	pvdH	
G-11722	Q9I157	pvdL	
G-11723	Q5DIV7	pvdI	
G-11724	Q9I181	pvdJ	
G-11725	Q9I182	pvdD	
G-11726	Q2MJC4	pvdYII	
G-11729	A9CPS8	GNL	
G-11730	P46380	aroQ	
G-11731	Q5FTS6	GOX0437	
G-11732	P07046	qa-4	
G-11733	Q9X5C9	qsuD	
G-11734		BIS2	
G-11735		BIS3	
G-11736	P25415	qutB	
G-11737	A4QB63	qsuB	
G-11738	A4QB64	qsuC	
G-11739	Q1Q4F5	nirS	
G-11740	A0P9I2	hzoA	
G-11742	A0P951	hzoB	
G-11743	A9ZRZ6	hao	
G-11744		kuste2854	
G-11745		kuste2855	
G-11746		kuste2856	
G-11747		kuste2857	
G-11748		kuste2858	
G-11749		kuste2859	
G-11750		kuste2860	
G-11751		kuste2861	
G-11752	P27503	pqqA	
G-11753	P27507	pqqE	
G-11754	P27508	pqqF	
G-11755	P27505	pqqC	
G-11760	Q01745	GaoA	
G-11761	Q8U4S7	dpdh	
G-11762	B6D1N4	hpxO	
G-11763	Q8NTP4	arsC1	
G-11764	Q6M576	arsC2	
G-11765	Q8NS40	mrx1	
G-11766	Q79VD4	mrx2	
G-11767	Q8NP23	mtr	
G-11768	Q9S7X6	ACL5	
G-11771	Q4WYG3	Afu3g12930	
G-11772	Q50EL0	fgaPT2	
G-11773	Q96YZ3	ST2037	
G-11774	Q9L9D7	cocE	
G-11775	Q9HXE3	dauA	
G-11776	Q9HXE4	dauB	
G-11777	A3KEZ1	dadA	
G-11778	P46925	plasmepsin-2	
G-11779	P39898	plasmepsin-1	
G-11780	Q17SB2	plasmepsin-4	
G-11781	Q9Y006	hap	
G-11782	Q9N6S8	falcipain-2	
G-11783	Q56CY9	falcipain-2'	
G-11784	Q9NB39	falcipain-3	
G-11785	Q9U7N7	FLN	
G-11786	Q8IIJ9	DPAP1	
G-11789		SMT2-1	
G-11790		SMT2-2	
G-11791	Q8RSQ2	bar	
G-11792	Q41131	FAH12	
G-11793	Q846U6	pydA	
G-11794	Q846U5	pydB	
G-11795	Q846U4	pydC	
G-11796	Q03248	Upb1	
G-11797	Q63150	Dpys	
G-11798	O89000	Dpyd	
G-11799	Q55777	slr0204	
G-118		ndhC	
G-11800		ATPGD1	
G-11801	C0SVZ6	CURS1	
G-11802	C6L7V8	CURS2	
G-11803	C6L7V9	CURS3	
G-11804	Q84HH6	boxC	
G-11805	D2CPE1	FAH12	
G-11807	Q84HH8	boxD	
G-11808	Q84HI6	orf1	
G-11809	Q3ZMG6	PKS1	
G-11811		P450H	
G-11812	Q9XHE8	CYP71D18	
G-11813	Q9SXW5	DAO1	
G-11818	B8RCD2	AIS1	
G-11819	B8RCD3	AIMT1	
G-11823	Q06069	CYP106A2	
G-11824	P17549	bphA	
G-11825	Q9ZSZ7	BMCT	
G-11826		BPBT	
G-11827		KAT1	
G-11828	Q5SBP2	FES	
G-11829	Q05521	DPP1	
G-11830	Q04396	LPP1	
G-11831	P32567	PAH1	
G-11832	P96253	fgd1	
G-11833	C1K5M2	NPDS1	
G-11834	C1K5M3	PHS1	
G-11835	Q84QG6	ACT	
G-11836	Q7A2M4	femX	
G-11837	P0A0A5	femA	
G-11839	P0A0A8	femB	
G-11840	Q9R744	pbp2	
G-11841		BALDH	
G-11842	Q93Q23	mgt	
G-11843	O31211	murC	
G-11844	P84058	murA	
G-11845	P65457	murZ	
G-11846	P52974	murI	
G-11847	Q5HEB7	ddl	
G-11848	Q06893	vanB	
G-11849	Q47720	vanC2/3	
G-11850	P25051	vanA	
G-11851	Q7B609	vanH	
G-11852	Q7DHH4	mecA	
G-11853	Q8L5J7	cs	
G-11854	Q53725	pbpA	
G-11855	Q9XDB3	pbp3	
G-11856	P72355	pbp4	
G-11858	Q06241	vanX	
G-11859	Q9X3P3	vanT	
G-11860	Q9JN36	vanXY	
G-11861	Q9XCR4	vanD	
G-11862	Q93A46	vanE	
G-11863	Q6WRY5	vanG	
G-11864	B3RFJ6	CYP86A22	
G-11866	P29753	vanC1	
G-11867	B6CBL8	vanC4	
G-11868	Q3XW69	aslA	
G-11869	C9C0D0	rac	
G-11870	Q830W0	bppA1	
G-11871	Q832R8	BppA2	
G-11874	Q9EY50	femX	
G-11875	Q81EK9	BC_1960	
G-11876	Q99PX1	deaA	
G-11877	P31867	XYL1	
G-11878	Q52551	pvaA	
G-11879	Q588Z2	oph	
G-11880	Q96KS0	EGLN2	
G-11881	Q9NWT6	HIF1AN	
G-11882	P37527	pdxS	
G-11883	P37528	pdxT	
G-11884	Q46222	waaA	
G-11886	Q06380	gseA	
G-11887	O86224	kdkA	
G-11888	P73922	slr2094	
G-11890	Q14T82	CYP76J1	
G-11891	Q9Z4J7	exaA	
G-11892	P13650	gdhB	
G-11893	Q9MBF5	IMT-2	
G-11894	Q46444	qheDH	
G-11895	Q7X9V1	VBPO1	
G-11896		GPAT2	
G-11898	Q9CDJ2	asnH	
G-119		6-hlno	
G-11900	Q8H0I7	IMT-6	
G-11901	Q6WRH6	pylS	
G-11903	D0ADV7	ddcY	
G-11907	D0ANH0	ldt	
G-11908	Q9M6A3	Asc-1	
G-11909	P24157	ACO4	
G-11910	Q93T65	pbp5	
G-11911	Q9Z3R2	rhbA	
G-11912	Q9Z3R1	rhbB	
G-11913	Q9Z3Q8	rhbE	
G-11914	Q9Z3Q9	rhbD	
G-11915	Q9Z3R0	rhbC	
G-11916	Q9Z3Q7	rhbF	
G-11917	Q04644	ACO	
G-11918	Q88FX9	nicA	
G-11919	Q88FX8	nicB	
G-11920	Q88FY2	nicC	
G-11921	Q88FY1	nicX	
G-11922	Q88FY3	nicD	
G-11923	Q88FY4	nicE	
G-11924	Q88FY5	nicF	
G-11925		T6ODM	
G-11926		CODM	
G-11927	Q071N0	SALR	
